AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
AGAR	RNA		Ulawa Airport	Arona, Ulawa Island, Solomon Islands
AGAT	ATD		Atoifi Airport	Atoifi, Malaita, Solomon Islands
AGBT	BPF		Batuna Airport	Batuna, Solomon Islands
AGEV	GEF		Geva Airstrip	Liangia, Vella Lavella Island, Solomon Islands
AGGA	AKS		Auki Gwaunaru'u Airport	Auki / Gwaunaru'u, Solomon Islands
AGGB	BNY		Bellona/Anua Airport	Anua, Bellona Island, Solomon Islands
AGGC	CHY		Choiseul Bay Airport	Choiseul Bay, Taro Island, Solomon Islands
AGGI	MBU		Mbambanakira Airport	Mbambanakira, Solomon Islands
AGGE	BAS		Ballalae Airport	Ballalae, Solomon Islands
AGGF	FRE		Fera Airport (Fera/Maringe Airport)	Maringe, Fera Island, Isabel Province, Solomon Islands
AGGH	HIR		Honiara International Airport	Honiara, Guadalcanal Island, Solomon Islands
AGGJ	AVU		Avu Avu Airport	Avu Avu, Solomon Islands
AGGK	IRA		Ngorangora Airport (Kirakira Airport)	Kirakira, Makira Island, Solomon Islands
AGGM	MUA		Munda Airport	Munda, New Georgia Island, Solomon Islands
AGGN	GZO		Nusatupe Airport	Gizo / Nusatupe, Western Province, Solomon Islands
AGGO	MNY		Mono Airport	Stirling Island, Treasury Islands, Solomon Islands
AGGS	EGM		Sege Airport	Sege, Solomon Islands
AGGY	XYA		Yandina Airport	Yandina, Solomon Islands
AGKG	KGE		Kagau Island Airport	Kagau Island, Solomon Islands
AGKU	KUE		Kukundu Airport	Kolombangara island, Western Province, Solomon Islands
ANYN	INU		Nauru International Airport	Yaren, Nauru
AYBK	BUA		Buka Island Airport	Buka Island, Papua New Guinea
AYCH	CMU		Chimbu Airport	Kundiawa, Papua New Guinea
AYDU	DAU		Daru Airport	Daru, Western Province, Papua New Guinea
AYGA	GKA		Goroka Airport	Goroka, Papua New Guinea
AYGN	GUR		Gurney Airport	Alotau, Papua New Guinea
AYHK	HKN		Kimbe Airport	Hoskins, Papua New Guinea
AYKA	LSA		Losuia Airport (Kiriwina Airfield)	Losuia, Kiriwina Island, Papua New Guinea
AYKK	KRI		Kikori Airport	Kikori, Papua New Guinea
AYKM	KMA		Kerema Airport	Kerema, Papua New Guinea
AYKT	KIE		Aropa Airport	Kieta, Bougainville Island, Papua New Guinea
