AGAF	AFT		Afutara Airport	Afutara
AGAR	RNA		Ulawa Airport	Arona, Ulawa Island
AGAT	ATD		Uru Harbour	Atoifi, Malaita
AGBA			Barakoma Airport	Barakoma
AGBT	BPF		Batuna Airport	Batuna
AGEV			Geva Airport	Geva
AGGA	AKS		Auki Gwaunaru'u Airport	Auki
AGGB	BNY		Bellona/Anua Airport	Bellona/Anua
AGGC	CHY		Choiseul Bay Airport	Choiseul Bay, Taro Island
AGGD	MBU		Mbambanakira Airport	Mbambanakira
AGGE	BAS		Balalae Airport	Shortland Island
AGGF	FRE		Fera/Maringe Airport	Fera Island, Santa Isabel Island
AGGG			Honiara FIR	Honiara, Guadalcanal
AGGH	HIR		Honiara International Airport (formerly Henderson Field)	Honiara, Guadalcanal
AGGI			Babanakira Airport	Babanakira
AGGJ	AVU		Avu Avu Airport	Avu Avu
AGGK	IRA		Kirakira Airport	Kirakira
AGGL	SCZ		Santa Cruz/Graciosa Bay/Luova Airport	Santa Cruz/Graciosa Bay/Luova, Santa Cruz Island
AGGM	MUA		Munda Airport	Munda, New Georgia Island
AGGN	GZO		Nusatupe Airport	Gizo Island
AGGO	MNY		Mono Airport	Mono Island
AGGP	PRS		Marau Sound Airport	Marau Sound
AGGQ			Ontong Java Airport	Ontong Java
AGGR	RNL		Rennell/Tingoa Airport	Rennell/Tingoa, Rennell Island
AGGS	EGM		Seghe Airport	Seghe
AGGT	NNB		Santa Ana Airport	Santa Ana
AGGU	RUS		Marau Airport	Marau
AGGV	VAO		Suavanao Airport	Suavanao
AGGY	XYA		Yandina Airport	Yandina
AGIN			Isuna Heliport	Isuna
AGKG	KGE		Kaghau Airport	Kaghau
AGKU	KUE		Kukudu Airport	Kukudu
AGOK	GTA		Gatokae Aerodrome	Gatokae
AGRC	RIN		Ringi Cove Airport	Ringi Cove
AGRM	RBV		Ramata Airport	Ramata Island
ANYN	INU		Nauru International Airport	Yaren (ICAO code formerly ANAU)
AYBK	BUA		Buka Airport	Buka
AYCH	CMU		Chimbu Airport	Kundiawa
AYDU	DAU		Daru Airport	Daru
AYGA	GKA		Goroka Airport	Goroka
AYGN	GUR		Gurney Airport	Alotau
AYGR	PNP		Girua Airport	Popondetta
AYHK	HKN		Hoskins Airport	Hoskins
AYKA			Kiriwini Airport	Kiriwini
AYKI	UNG		Kiunga Airport	Kiunga
AYKK	KRI		Kikori Airport	Kikori
AYKM	KMA		Kerema Airport	Kerema
