AGAF	AFT		11.0	U	160.949722	-9.183056	1.5	Afutara	Solomon Islands		Afutara	7615
AGAR	RNA		11.0	U	161.979167	-9.854722	1.5	Ulawa	Solomon Islands		Ulawa	7616
AGAT	ATD		11.0	U	161.011	-8.87333		Uru Harbour	Solomon Islands		Atoifi	5404
AGBA								Barakoma			Barakoma	
AGBT	BPF		11.0	U	158.0	-8.63	1.5	Batuna	Solomon Islands		Batuna	7620
AGEV	GEF							Geva			Geva	
AGGA	AKS		11.0	U	160.682	-8.70257	1.5	Auki	Solomon Islands		Auki	5405
AGGB	BNY		11.0	U	15.981666666667	-11.3111	0.9	Bellona	Solomon Islands		Bellona	6919
AGGC	CHY		11.0	U	156.396111	-6.711944	1.5	Choiseul Bay	Solomon Islands		Choiseul Bay	7617
AGGE	BAS		11.0	U	155.883	-6.967	1.5	Ballalae	Solomon Islands		Ballalae	5406
AGGF	FRE		11.0	U	159.577	-8.1075		Fera/Maringe	Solomon Islands		Fera Island	5407
AGGG								Honiara FIR			Honiara, Guadalcanal	
AGGH	HIR		11.0	U	160.054789	-9.428	8.5	Honiara Intl	Solomon Islands		Honiara	4074
AGGI	MBU		11.0	U	159.839	-9.7475		Babanakira	Solomon Islands		Mbambanakira	5408
AGGJ	AVU							Avu Avu			Avu Avu	
AGGK	IRA		11.0	U	161.898	-10.4497		Ngorangora	Solomon Islands		Kirakira	5409
AGGL	SCZ		11.0	U	165.795	-10.7203	5.5	Santa Cruz/Graciosa Bay/Luova	Solomon Islands		Santa Cruz/Graciosa Bay/Luova	5410
AGGM	MUA		11.0	U	157.263	-8.32797	3.0	Munda	Solomon Islands		Munda, New Georgia Island	5411
AGGN	GZO		11.0	U	156.864	-8.09778	4.0	Nusatupe	Solomon Islands		Gizo	5412
AGGO	MNY		10.0	U	155.565	-7.41694		Mono	Solomon Islands		Stirling Island	5413
AGGP	PRS							Marau Sound			Marau Sound	
AGGQ								Ontong Java			Ontong Java	
AGGR	RNL		11.0	U	160.063	-11.5339		Rennell/Tingoa	Solomon Islands		Rennell Island	5414
AGGS	EGM		11.0	U	157.876	-8.57889		Sege	Solomon Islands		Sege	6758
AGGT	NNB		11.0	U	162.454167	-10.848056	1.8	Santa Ana	Solomon Islands		Santa Ana	7618
AGGU	RUS		11.0	U	160.825	-9.86167		Marau	Solomon Islands		Marau	5415
AGGV	VAO		11.0	U	158.731	-7.58556		Suavanao	Solomon Islands		Suavanao	5416
AGGY	XYA		11.0	U	159.218889	-9.086111	1.8	Yandina	Solomon Islands		Yandina	7619
AGIN								Isuna Heliport			Isuna	
AGKG	KGE		11.0	U	157.583	-7.333		Kagau Island	Solomon Islands		Kagau Island	5417
AGKU	KUE							Kukudu			Kukudu	
AGOK	GTA		11.0	U	158.2	-8.75		Gatokae	Solomon Islands		Gatokae	6064
AGRC	RIN		11.0	U	157.143	-8.12639		Ringi Cove	Solomon Islands		Ringi Cove	6918
AGRM	RBV		11.0	U	157.643	-8.16806		Ramata	Solomon Islands		Ramata	5418
ANYN	INU		12.0	U	166.9191	-0.547458	6.7	Nauru Intl	Nauru		Nauru	4076
ARIA			3.0	U	72.8369	3.4833		South Ari Atoll	Maldives		Paradies Island	6811
AYBK	BUA		10.0	U	154.673	-5.42232	3.4	Buka	Papua New Guinea		Buka Island	5419
AYCH	CMU		10.0	U	144.971	-6.02429	1516.1	Chimbu	Papua New Guinea		Kundiawa	5420
AYDU	DAU		10.0	U	143.208	-9.08676	6.1	Daru	Papua New Guinea		Daru	5421
AYGA	GKA		10.0	U	145.391881	-6.081689	1610.0	Goroka	Papua New Guinea		Goroka	1
AYGN	GUR		10.0	U	150.334	-10.3115	26.8	Gurney	Papua New Guinea		Alotau	5422
AYGR	PNP		10.0	U	148.309	-8.80454	94.8	Girua	Papua New Guinea		Popondetta	5423
AYHK	HKN		10.0	U	150.405	-5.46217	20.1	Kimbe	Papua New Guinea		Hoskins	5424
AYKA	LSA		10.0	U	151.081	-8.50582	8.2	Losuia	Papua New Guinea		Losuia	5980
AYKI	UNG		10.0	U	141.282	-6.12571	26.8	Kiunga	Papua New Guinea		Kiunga	5425
AYKK	KRI		10.0	U	144.25	-7.42438	15.2	Kikori	Papua New Guinea		Kikori	5426
AYKM	KMA		10.0	U	145.771	-7.96361	3.0	Kerema	Papua New Guinea		Kerema	5427
AYKT	KIE		4.0	N	42.15000001	57.45000001	128.0	Kineshma	Russia		Kineshma	7664
AYKV	KVG		10.0	U	150.808	-2.5794	2.1	Kavieng	Papua New Guinea		Kavieng	5428
AYKY	LNV		10.0	U	152.629	-3.04361	50.9	Londolovit	Papua New Guinea		Londolovit	5979
AYLA								Lae Airfield			Lae	
AYMD	MAG		10.0	U	145.7887	-5.207083	6.1	Madang	Papua New Guinea		Madang	2
AYMH	HGU		10.0	U	144.295861	-5.826789	1642.3	Mount Hagen	Papua New Guinea		Mount Hagen	3
AYMN	MDU		10.0	U	143.657	-6.14774	1731.3	Mendi	Papua New Guinea		Mendi	5429
AYMO	MAS		10.0	U	147.424	-2.06189	3.7	Momote	Papua New Guinea		Manus Island	5430
AYMR	MXH		10.0	U	143.238	-6.36333	835.2	Moro	Papua New Guinea		Moro	5431
AYMS	MIS		10.0	U	152.838	-10.6892	7.9	Misima Island	Papua New Guinea		Misima Island	5432
AYNZ	LAE		10.0	U	146.726242	-6.569828	72.8	Nadzab	Papua New Guinea		Nadzab	4
AYPY	POM		10.0	U	147.22005	-9.443383	44.5	Port Moresby Jacksons Intl	Papua New Guinea		Port Moresby	5
AYRB								Rabaul Airport (old) (destroyed 1994)			Rabaul, New Britain	
AYTA	TIZ		10.0	U	142.948	-5.845	1676.4	Tari	Papua New Guinea		Tari	5433
AYTB	TBG		10.0	U	141.226	-5.27861	478.5	Tabubil	Papua New Guinea		Tabubil	5434
AYTK	RAB		10.0	U	152.38	-4.34046	9.8	Tokua	Papua New Guinea		Rabaul / Tokua	5435
AYVN	VAI		10.0	U	141.302	-2.69717	3.0	Vanimo	Papua New Guinea		Vanimo	5436
AYWD	WBM		10.0	U	143.895	-5.6433	1795.0	Wapenamanda	Papua New Guinea		Wapenamanda	5437
AYWK	WWK		10.0	U	143.669186	-3.583828	5.8	Wewak Intl	Papua New Guinea		Wewak	6
BGAA	JEG							Aasiaat			Aasiaat (Egedesminde, Ausiat)	
BGAG	AAP							Aappilattoq Heliport (Qaasuitsup)			Aappilattoq, Qaasuitsup	
BGAK								Akunnaaq Heliport			Akunnaaq	
BGAM	AGM		-2.0	U	-37.618333	65.612222	7.3	Tasiilaq	Greenland		Angmagssalik	7642
BGAP	LLU		-3.0	E	-45.5778	60.4644	27.1	Alluitsup Paa Heliport	Greenland		Alluitsup Paa	5438
BGAQ								Aappilattoq Heliport (Kujalleq)			Aappilattoq, Kujalleq	
BGAR	JRK							Arsuk Heliport			Arsuk	
BGAS								Ammassivik Heliport			Ammassivik	
BGAT								Attu Heliport			Attu	
BGBW	UAK		-3.0	E	-45.425978	61.160517	34.1	Narsarsuaq	Greenland		Narssarssuaq	7
BGCH	JCH		-3.0	E	-51.0	68.833336	0.6	Qasigiannguit	Greenland		Qasigiannguit	3996
BGCO	CNP		-1.0	E	-22.6606	70.7433	13.7	Neerlerit Inaat	Greenland		Neerlerit Inaat	5439
BGDU	DUN							Dundas			Dundas, Greenland	
BGEM								(see BGAA)				
BGET								Eqalugaarsuit Heliport			Eqalugaarsuit	
BGFD								Narsaq Kujalleq Heliport			Narsaq Kujalleq	
BGFH								(see BGPT)				
BGGD	JGR		-3.0	E	-48.1	61.2333		Groennedal Heliport	Greenland		Groennedal	5666
BGGH	GOH		-3.0	E	-51.678064	64.190922	86.3	Nuuk	Greenland		Godthaab	8
BGGN	JGO		-3.0	E	-53.5381	69.2511		Qeqertarsuaq Heliport	Greenland		Qeqertarsuaq Airport	5441
BGHB								(see BGSS)				
BGIA	IKE							Ikerasak Heliport			Ikerasak	
BGIG								Iginniarfik Heliport			Iginniarfik	
BGIK								Ikerasaarsuk Heliport			Ikerasaarsuk	
BGIL								Ilimanaq Heliport			Ilimanaq	
BGIN								Innaarsuit Heliport			Innarsuit	
BGIS								Isortoq Heliport			Isortoq	
BGIT								Ikamiut Heliport			Ikamiut	
