PANC	ANC	ANC	Ted Stevens Anchorage International Airport	Anchorage	P-M               2342310
PAMR	MRI	MRI	Merrill Field	Anchorage	P-N                 14972
PANI	ANI	ANI	Aniak Airport	Aniak	P-N                 16394
PABR	BRW	BRW	Wiley Post-Will Rogers Memorial Airport	Barrow	P-N                 40141
PABE	BET	BET	Bethel Airport (also see Bethel Seaplane Base)	Bethel	P-N                144353
PACV	CDV	CDV	Merle K. (Mudhole) Smith Airport	Cordova	P-N                 17856
PASC	SCC	SCC	Deadhorse Airport (Prudhoe Bay Airport)	Deadhorse / Prudhoe Bay	P-N                 37319
PADL	DLG	DLG	Dillingham Airport	Dillingham	P-N                 42927
PAEM	EMK	ENM	Emmonak Airport	Emmonak	P-N [nb 1]          10537
PAFA	FAI	FAI	Fairbanks International Airport	Fairbanks	P-S                435392
PAGA	GAL	GAL	Edward G. Pitka Sr. Airport	Galena	P-N [nb 2]          12421
PAHO	HOM	HOM	Homer Airport	Homer	P-N                 38407
PAOH	HNH	HNH	Hoonah Airport (also see Hoonah Seaplane Base)	Hoonah	P-N [nb 3]          10759
PAJN	JNU	JNU	Juneau International Airport	Juneau	P-S                344057
PAEN	ENA	ENA	Kenai Municipal Airport	Kenai	P-N                 86857
PAKT	KTN	KTN	Ketchikan International Airport	Ketchikan	P-N                100138
PAKN	AKN	AKN	King Salmon Airport	King Salmon	P-N                 41514
PADQ	ADQ	ADQ	Kodiak Airport	Kodiak	P-N                 80303
PAOT	OTZ	OTZ	Ralph Wien Memorial Airport	Kotzebue	P-N                 62177
PAMB	KMO	MBA	Manokotak Airport	Manokotak	P-N                 12409
PAOM	OME	OME	Nome Airport	Nome	P-N                 56658
PAPG	PSG	PSG	Petersburg James A. Johnson Airport	Petersburg	P-N                 18468
PASI	SIT	SIT	Sitka Rocky Gutierrez Airport	Sitka	P-N                 64536
PAUN	UNK	UNK	Unalakleet Airport	Unalakleet	P-N                 12693
PADU	DUT	DUT	Unalaska Airport (Tom Madsen Airport)	Unalaska	P-N                 26711
PAVD	VDZ	VDZ	Valdez Airport (Pioneer Field)	Valdez	P-N                 15739
PAWG	WRG	WRG	Wrangell Airport (also see Wrangell Seaplane Base)	Wrangell	P-N                 10882
PAYA	YAK	YAK	Yakutat Airport (also see Yakutat Seaplane Base)	Yakutat	P-N                 10035

PAUK	AUK	AUK	Alakanuk Airport	Alakanuk	CS                   3213
PAKP	AKP	AKP	Anaktuvuk Pass Airport	Anaktuvuk Pass	CS                   4031
PALH		LHD	Lake Hood Seaplane Base (also see Lake Hood Airstrip)	Anchorage	CS [nb 4]            7575
PABA		BTI	Barter Island LRRS Airport	Barter Island	CS                   2828
PABL	BKC	BVK	Buckland Airport	Buckland	CS                   3580
PACK	CYF	CFK	Chefornak Airport	Chefornak	CS                   3640
PAVA	VAK	VAK	Chevak Airport	Chevak	CS                   5588
PACD	CDB	CDB	Cold Bay Airport	Cold Bay	CS                   9261
	CGA	CGA	Craig Seaplane Base	Craig	CS                   4368
PAEE	EEK	EEK	Eek Airport	Eek	CS                   3340
PFYU	FYU	FYU	Fort Yukon Airport	Fort Yukon	CS                   7986
PAGM	GAM	GAM	Gambell Airport	Gambell	CS                   3851
PAGS	GST	GST	Gustavus Airport	Gustavus	CS [nb 5]            9996
PAHN	HNS	HNS	Haines Airport (also see Haines Seaplane Base)	Haines	CS                   9534
PAHP	HPB	HPB	Hooper Bay Airport	Hooper Bay	CS                   5949
PAHL	HSL	HLA	Huslia Airport	Huslia	CS                   3400
PAIL	ILI	ILI	Iliamna Airport	Iliamna	CS                   6889
PALG	KLG	KLG	Kalskag Airport	Kalskag	CS                   3373
PFKA	KUK	Z09	Kasigluk Airport	Kasigluk	CS                   4164
PAIK	IAN	IAN	Bob Baker Memorial Airport	Kiana	CS                   3320
PAVC	KVC	KVC	King Cove Airport	King Cove	CS                   2718
PAKI	KPN	IIK	Kipnuk Airport	Kipnuk	CS                   5919
PAVL	KVL	KVL	Kivalina Airport	Kivalina	CS                   3481
PADY	KKH	DUY	Kongiganak Airport	Kongiganak	CS                   4359
PFKO	KOT	2A9	Kotlik Airport	Kotlik	CS                   3498
PFKW	KWT	KWT	Kwethluk Airport	Kwethluk	CS                   3276
PAGG	KWK	GGV	Kwigillingok Airport (also see Kwigillingok Seaplane Base)	Kwigillingok	CS                   3692
PALB	KLN	2A3	Larsen Bay Airport	Larsen Bay	CS                   2597
PADM	MLL	MDM	Marshall Don Hunter Sr. Airport	Marshall	CS                   3253
PAMC	MCG	MCG	McGrath Airport (also see McGrath Seaplane Base)	McGrath	CS                   5242
PAMM	MTM	MTM	Metlakatla Seaplane Base	Metlakatla	CS                   4140
PAMO	MOU	MOU	Mountain Village Airport	Mountain Village	CS                   4927
	KEB	KEB	Nanwalek Airport (was English Bay Airport)	Nanwalek (English Bay)	CS                   3362
PAEW	WWT	EWU	Newtok Airport (also see Newtok Seaplane Base)	Newtok	CS [nb 6]            2607
PAWN	WTK	WTK	Noatak Airport	Noatak	CS                   4529
PFNO	ORV	D76	Robert (Bob) Curtis Memorial Airport	Noorvik	CS                   4661
PAQT	NUI	AQT	Nuiqsut Airport	Nuiqsut	CS                   2741
PANU	NUL	NUL	Nulato Airport	Nulato	CS                   3404
	NUP	16A	Nunapitchuk Airport	Nunapitchuk	CS                   2877
	OLH	6R7	Old Harbor Airport	Old Harbor	CS                   3177
	KOZ	4K5	Ouzinkie Airport	Ouzinkie	CS [nb 7]            2784
	PQS	0AK	Pilot Station Airport	Pilot Station	CS                   3564
PAPO	PHO	PHO	Point Hope Airport	Point Hope	CS                   4713
	PGM	PGM	Port Graham Airport	Port Graham	CS                   2738
PAQH	KWN	AQH	Quinhagak Airport	Quinhagak	CS                   6770
PARS	RSH	RSH	Russian Mission Airport	Russian Mission	CS                   3002
PASM	KSM	KSM	St. Mary's Airport	St. Mary's	CS                   9891
PASN	SNP	SNP	St. Paul Island Airport	St. Paul Island	CS                   3229
PASD	SDP	SDP	Sand Point Airport	Sand Point	CS                   4281
PASA	SVA	SVA	Savoonga Airport	Savoonga	CS                   4323
PACM	SCM	SCM	Scammon Bay Airport	Scammon Bay	CS                   4155
PASK	WLK	WLK	Selawik Airport	Selawik	CS                   4828
PASO	SOV	SOV	Seldovia Airport (also see Seldovia Seaplane Base)	Seldovia	CS                   5707
PASH	SHH	SHH	Shishmaref Airport	Shishmaref	CS                   3126
PAGY	SGY	SGY	Skagway Airport (also see Skagway Seaplane Base)	Skagway	CS [nb 8]            8531
	WBB	WBB	Stebbins Airport	Stebbins	CS                   2603
PATA	TAL	TAL	Ralph M. Calhoun Memorial Airport	Tanana	CS                   3241
	KTB	KTB	Thorne Bay Seaplane Base	Thorne Bay	CS                   2608
PAOO	OOK	OOK	Toksook Bay Airport	Toksook Bay	CS                   4726
	TLT	TLT	Tuluksak Airport	Tuluksak	CS                   2658
	WTL	A61	Tuntutuliak Airport (also see Tuntutuliak Seaplane Base)	Tuntutuliak	CS                   3662
PAVE	VEE	VEE	Venetie Airport	Venetie	CS [nb 9]            2523
PAWI	AIN	AWI	Wainwright Airport	Wainwright	CS                   4129

PADK	ADK	ADK	Adak Airport (Adak Station / Mitchell Field)	Adak Island	GA                   2097
PAKH	AKK	AKK	Akhiok Airport	Akhiok	GA                   1209
		Z13	Akiachak Airport (also see Akiachak Seaplane Base)	Akiachak	GA                   2981
PFAK	AKI	AKI	Akiak Airport	Akiak	GA                   1960
	KQA	KQA	Akutan Seaplane Base	Akutan	GA                   1246
	WKK	5A8	Aleknagik Airport (also see Aleknagik Seaplane Base)	Aleknagik	GA                      5
PFAL	AET	6A8	Allakaket Airport	Allakaket	GA                   2482
PAFM	ABL	AFM	Ambler Airport	Ambler	GA                   2110
PAGN	AGN	AGN	Angoon Seaplane Base	Angoon	GA                   1680
PANV	ANV	ANV	Anvik Airport (also see Anvik Seaplane Base)	Anvik	GA                    814
PARC	ARC	ARC	Arctic Village Airport	Arctic Village	GA                   2047
PAAK	AKB	AKA	Atka Airport	Atka	GA                    322
	ATT	4A2	Atmautluak Airport	Atmautluak	GA                   2115
PATQ	ATK	ATK	Atqasuk Edward Burnell Sr. Memorial Airport	Atqasuk	GA                   2499
	BNF	BNF	Warm Springs Bay Seaplane Base	Baranof / Warm Springs Bay	GA
PAWB	WBQ	WBQ	Beaver Airport	Beaver	GA                   1061
PABT	BTT	BTT	Bettles Airport	Bettles	GA                   1403
PAGQ	BGQ	BGQ	Big Lake Airport	Big Lake	GA
	KBC	Z91	Birch Creek Airport	Birch Creek	GA                    361
PABV		BCV	Birchwood Airport	Birchwood	GA                    450
	BYA	BYA	Boundary Airport	Boundary	GA
PFKT	KTS	KTS	Brevig Mission Airport	Brevig Mission	GA                   2133
PACE	CEM	CEM	Central Airport	Central	GA                     20
PACI	CIK	CIK	Chalkyitsik Airport	Chalkyitsik	GA                    777
		5CD	Chandalar Shelf Airport	Chandalar Camp	GA
PALR	WCR	WCR	Chandalar Lake Airport	Chandalar Lake	GA                     42
PFCB	NCN	C05	Chenega Bay Airport	Chenega	GA
	CKX	CKX	Chicken Airport	Chicken	GA                      7
PAJC		AJC	Chignik Airport	Chignik	GA                    854
	KCL	KCL	Chignik Lagoon Airport	Chignik Flats	GA                    648
	KCQ	A79	Chignik Lake Airport	Chignik Lake	GA                     35
	CZN	CZN	Chisana Airport	Chisana	GA                     44
	CXC	CXC	Chitina Airport	Chitina	GA
PACH	CHU	9A3	Chuathbaluk Airport	Chuathbaluk	GA                    530
PACR	IRC	CRC	Circle City Airport	Circle	GA                    355
	CHP	CHP	Circle Hot Springs Airport	Circle Hot Springs	GA                     55
PFCL	CLP	CLP	Clarks Point Airport	Clarks Point	GA                    454
PACL		Z84	Clear Airport / Clear Air Force Station	Clear	GA                     50
	KCC	KCC	Coffman Cove Seaplane Base	Coffman Cove	GA                     74
PACX	CXF	CXF	Coldfoot Airport	Coldfoot	GA                    212
	CKU	CKU	Cordova Municipal Airport	Cordova	GA
	CIL	K29	Council Airport	Council	GA
	CKD	CJX	Crooked Creek Airport	Crooked Creek	GA                    549
	DCK	DCK	Dahl Creek Airport	Dahl Creek	GA                     51
PADE	DRG	DEE	Deering Airport	Deering	GA                   1291
		DM2	Diomede Heliport	Diomede	GA                    272
PAEG	EAA	EAA	Eagle Airport	Eagle	GA                    734
PAII	EGX	EII	Egegik Airport	Egegik	GA                   1305
	KEK	KEK	Ekwok Airport	Ekwok	GA                    284
PAEL	ELV	ELV	Elfin Cove Seaplane Base	Elfin Cove	GA                    305
PFEL	ELI	ELI	Elim Airport	Elim	GA                   2376
	EXI	EXI	Excursion Inlet Seaplane Base	Excursion Inlet	GA                     30
PAKF	KFP	KFP	False Pass Airport	False Pass	GA                    321
	FLT	FLT	Flat Airport	Flat	GA                      5
PANR	FNR	FNR	Funter Bay Seaplane Base	Funter Bay	GA                     11
PAGB	GBH	GBH	Galbraith Lake Airport	Galbraith Lake	GA                    878
		AQY	Girdwood Airport	Girdwood	GA
PAGL	GLV	GLV	Golovin Airport	Golovin	GA                   1753
	GNU	GNU	Goodnews Airport	Goodnews Bay	GA                   1649
		Z40	Goose Bay Airport	Goose Bay	GA
	KGX	KGX	Grayling Airport	Grayling	GA                   1005
PAGK	GKN	GKN	Gulkana Airport	Gulkana	GA                    141
		3Z9	Haines Seaplane Base	Haines	GA
PAHV		HRR	Healy River Airport	Healy	GA                      8
	HYL	HYL	Hollis Seaplane Base	Hollis	GA                   1965
PAHC	HCR	HCA	Holy Cross Airport	Holy Cross	GA                   1155
		OOH	Hoonah Seaplane Base	Hoonah	GA
		5HO	Hope Airport	Hope	GA
PAHU	HUS	HUS	Hughes Airport	Hughes	GA                   1225
PAHY	HYG	HYG	Hydaburg Seaplane Base	Hydaburg	GA                     38
	WHD	4Z7	Hyder Seaplane Base	Hyder	GA                    101
PAIG	IGG	IGG	Igiugig Airport	Igiugig	GA                    594
	KIB	KIB	Ivanof Bay Seaplane Base	Ivanof Bay	GA
		5Z1	Juneau Harbor Seaplane Base	Juneau	GA
PAFE		AFE	Kake Airport (also see Kake Seaplane Base)	Kake	GA
	KAE	KAE	Kake Seaplane Base	Kake	GA                   1440
PAKV	KAL	KAL	Kaltag Airport	Kaltag	GA                   2325
		5Z5	Kantishna Airport	Kantishna	GA
PAKY	KYK	KYK	Karluk Airport	Karluk	GA                    397
	KXA	KXA	Kasaan Seaplane Base	Kasaan	GA                    125
		8K9	Murphys Pullout Seaplane Base	Ketchikan	GA
	KKB	KKB	Kitoi Bay Seaplane Base	Kitoi Bay	GA                     28
PAKW	KLW	AKW	Klawock Airport (also see Klawock Seaplane Base)	Klawock	GA                     15
PAQC		AQC	Klawock Seaplane Base	Klawock	GA
PAOB	OBU	OBU	Kobuk Airport	Kobuk	GA                   1255
PAKD	KDK	KDK	Kodiak Municipal Airport	Kodiak	GA
		T44	Trident Basin Seaplane Base	Kodiak	GA [nb 10]           4330
PFKK	KNK	9K2	Kokhanok Airport	Kokhanok	GA                    887
PAJZ	KGK	JZZ	Koliganek Airport	Koliganek	GA                    572
PAKK	KKA	KKA	Koyuk Alfred Adams Airport	Koyuk	GA [nb 11]           2366
PFKU	KYU	KYU	Koyukuk Airport	Koyukuk	GA                   1254
		Z55	Lake Louise Airport (also see Lake Louise Seaplane Base)	Lake Louise	GA                      1
PAMH		MHM	Minchumina Airport (Lake Minchumina Airport)	Lake Minchumina	GA                    124
	KLL	9Z8	Levelock Airport	Levelock	GA                    447
	LVD	2AK	Lime Village Airport	Lime Village	GA                     13
PAML	MLY	MLY	Manley Hot Springs Airport	Manley Hot Springs	GA                     41
	MYK	MYK	May Creek Airport	May Creek	GA                      8
