table with row headers in column A and column headers in rows 3 through 4,,,,,,,,,,
"Table 1. Annual Estimates of the Resident Population for Incorporated Places Over 50,000, Ranked by July 1, 2011 Population: April 1, 2010 to July 1, 2011",,,,,,,,,,
Rank,Geographic Area,,"April 1, 2010",,Population Estimate (as of July 1),,,,,
,Place,State,Census,Estimates Base,2010,2011,,,,
1,New York city,New York,"8,175,133","8,175,133","8,186,443","8,244,910",,,,
2,Los Angeles city,California,"3,792,621","3,792,625","3,795,761","3,819,702",,,,
3,Chicago city,Illinois,"2,695,598","2,695,598","2,698,283","2,707,120",,,,
4,Houston city,Texas,"2,099,451","2,099,430","2,108,278","2,145,146",,,,
5,Philadelphia city,Pennsylvania,"1,526,006","1,526,006","1,528,074","1,536,471",,,,
6,Phoenix city,Arizona,"1,445,632","1,445,656","1,448,531","1,469,471",,,,
7,San Antonio city,Texas,"1,327,407","1,327,606","1,334,431","1,359,758",,,,
8,San Diego city,California,"1,307,402","1,307,406","1,311,516","1,326,179",,,,
9,Dallas city,Texas,"1,197,816","1,197,816","1,201,715","1,223,229",,,,
10,San Jose city,California,"945,942","952,612","955,091","967,487",,,,
11,Jacksonville city,Florida,"821,784","821,784","822,883","827,908",,,,
12,Indianapolis city (balance),Indiana,"820,445","820,442","821,708","827,609",,,,
13,Austin city,Texas,"790,390","790,390","795,378","820,611",,,,
14,San Francisco city,California,"805,235","805,235","805,340","812,826",,,,
15,Columbus city,Ohio,"787,033","787,073","788,696","797,434",,,,
16,Fort Worth city,Texas,"741,206","742,030","745,231","758,738",,,,
17,Charlotte city,North Carolina,"731,424","731,424","734,216","751,087",,,,
18,Detroit city,Michigan,"713,777","713,777","711,700","706,585",,,,
19,El Paso city,Texas,"649,121","649,152","651,881","665,568",,,,
20,Memphis city,Tennessee,"646,889","646,889","647,780","652,050",,,,
21,Boston city,Massachusetts,"617,594","617,594","618,147","625,087",,,,
22,Seattle city,Washington,"608,660","608,660","610,480","620,778",,,,
23,Denver city,Colorado,"600,158","600,008","603,440","619,968",,,,
24,Baltimore city,Maryland,"620,961","620,961","620,560","619,493",,,,
25,Washington city,District of Columbia,"601,723","601,723","604,912","617,996",,,,
26,Nashville-Davidson metropolitan government (balance),Tennessee,"601,222","601,222","602,537","609,644",,,,
27,Louisville/Jefferson County metro government (balance),Kentucky,"597,337","597,337","598,207","602,011",,,,
28,Milwaukee city,Wisconsin,"594,833","594,832","595,407","597,867",,,,
29,Portland city,Oregon,"583,776","583,776","585,474","593,820",,,,
30,Oklahoma City city,Oklahoma,"579,999","580,001","582,352","591,967",,,,
31,Las Vegas city,Nevada,"583,756","583,748","584,539","589,317",,,,
32,Albuquerque city,New Mexico,"545,852","545,852","547,392","552,804",,,,
33,Tucson city,Arizona,"520,116","520,097","521,180","525,796",,,,
34,Fresno city,California,"494,665","494,735","496,181","501,362",,,,
35,Sacramento city,California,"466,488","466,488","467,575","472,178",,,,
36,Long Beach city,California,"462,257","462,257","462,645","465,576",,,,
37,Kansas City city,Missouri,"459,787","459,787","460,724","463,202",,,,
38,Mesa city,Arizona,"439,041","439,193","440,079","446,518",,,,
39,Virginia Beach city,Virginia,"437,994","437,994","439,122","442,707",,,,
40,Atlanta city,Georgia,"420,003","420,005","422,387","432,427",,,,
41,Colorado Springs city,Colorado,"416,427","416,427","419,745","426,388",,,,
42,Raleigh city,North Carolina,"403,892","403,903","406,432","416,468",,,,
43,Omaha city,Nebraska,"408,958","408,962","410,170","415,068",,,,
44,Miami city,Florida,"399,457","399,457","400,509","408,750",,,,
45,Tulsa city,Oklahoma,"391,906","391,901","393,166","396,466",,,,
46,Oakland city,California,"390,724","390,724","391,445","395,817",,,,
47,Cleveland city,Ohio,"396,815","396,815","396,166","393,806",,,,
48,Minneapolis city,Minnesota,"382,578","382,578","383,108","387,753",,,,
49,Wichita city,Kansas,"382,368","382,368","383,085","384,445",,,,
50,Arlington city,Texas,"365,438","365,438","367,021","373,698",,,,
