New York	New York	8244910
Los Angeles	California	3819702
Chicago	Illinois	2707120
Houston	Texas	2145146
Philadelphia	Pennsylvania	1536471
Phoenix	Arizona	1469471
San Antonio	Texas	1359758
San Diego	California	1326179
Dallas	Texas	1223229
San Jose	California	967487
Jacksonville	Florida	827908
Indianapolis	Indiana	827609
Austin	Texas	820611
San Francisco	California	812826
Columbus	Ohio	797434
Fort Worth	Texas	758738
Charlotte	North Carolina	751087
Detroit	Michigan	706585
El Paso	Texas	665568
Memphis	Tennessee	652050
Boston	Massachusetts	625087
Seattle	Washington	620778
Denver	Colorado	619968
Baltimore	Maryland	619493
Washington	District of Columbia	617996
Nashville	Tennessee	609644
Louisville	Kentucky	602011
Milwaukee	Wisconsin	597867
Portland	Oregon	593820
Oklahoma City	Oklahoma	591967
Las Vegas	Nevada	589317
Albuquerque	New Mexico	552804
Tucson	Arizona	525796
Fresno	California	501362
Sacramento	California	472178
Long Beach	California	465576
Kansas City	Missouri	463202
Mesa	Arizona	446518
Virginia Beach	Virginia	442707
Atlanta	Georgia	432427
Colorado Springs	Colorado	426388
Raleigh	North Carolina	416468
Omaha	Nebraska	415068
Miami	Florida	408750
Tulsa	Oklahoma	396466
Oakland	California	395817
Cleveland	Ohio	393806
San Juan	Puerto Rico	389714
Minneapolis	Minnesota	387753
Wichita	Kansas	384445
Arlington	Texas	373698
New Orleans	Louisiana	360740
Bakersfield	California	352428
Tampa	Florida	346037
Anaheim	California	341361
Honolulu	Hawaii	340936
Aurora	Colorado	332354
Santa Ana	California	329427
St. Louis	Missouri	318069
