Name                                                     	Type	   id	Parent	Children
										
Albany-Corvallis-Lebanon, OR                                 	CSA	  102		10540: Albany-Lebanon, OR µSA | 18700: Corvallis, OR MSA
Albany-Schenectady-Amsterdam, NY                             	CSA	  104		10580: Albany-Schenectady-Troy, NY MSA | 11220: Amsterdam, NY µSA | 24020: Glens Falls, NY MSA | 24100: Gloversville, NY µSA | 26460: Hudson, NY µSA
Ames-Boone, IA                                               	CSA	  112		11180: Ames, IA MSA | 14340: Boone, IA µSA
Appleton-Oshkosh-Neenah, WI                                  	CSA	  118		11540: Appleton, WI MSA | 36780: Oshkosh-Neenah, WI MSA
Asheville-Brevard, NC                                        	CSA	  120		11700: Asheville, NC MSA | 14820: Brevard, NC µSA
Atlanta-Sandy Springs-Gainesville, GA-AL                     	CSA	  122		12060: Atlanta-Sandy Springs-Marietta, GA MSA | 16340: Cedartown, GA µSA | 23580: Gainesville, GA MSA | 29300: LaGrange, GA µSA | 45580: Thomaston, GA µSA | 46740: Valley, AL µSA
Austin-Round Rock-Marble Falls, TX                           	CSA	  126		12420: Austin-Round Rock-San Marcos, TX MSA | 31920: Marble Falls, TX µSA
Baton Rouge-Pierre Part, LA                                  	CSA	  132		12940: Baton Rouge, LA MSA | 38200: Pierre Part, LA µSA
Beckley-Oak Hill, WV                                         	CSA	  138		13220: Beckley, WV µSA | 36060: Oak Hill, WV µSA
Bend-Prineville, OR                                          	CSA	  140		13460: Bend, OR MSA | 39260: Prineville, OR µSA
Birmingham-Hoover-Cullman, AL                                	CSA	  142		13820: Birmingham-Hoover, AL MSA | 18980: Cullman, AL µSA
Boston-Worcester-Manchester, MA-RI-NH                        	CSA	  148		14460: Boston-Cambridge-Quincy, MA-NH MSA | 18180: Concord, NH µSA | 29060: Laconia, NH µSA | 31700: Manchester-Nashua, NH MSA | 39300: Providence-New Bedford-Fall River, RI-MA MSA | 49340: Worcester, MA MSA
Brownsville-Harlingen-Raymondville, TX                       	CSA	  154		15180: Brownsville-Harlingen, TX MSA | 39700: Raymondville, TX µSA
Buffalo-Niagara-Cattaraugus, NY                              	CSA	  160		15380: Buffalo-Niagara Falls, NY MSA | 36460: Olean, NY µSA
Cape Girardeau-Sikeston-Jackson, MO-IL                       	CSA	  164		16020: Cape Girardeau-Jackson, MO-IL MSA | 43460: Sikeston, MO µSA
Carbondale-Marion-Herrin, IL                                 	CSA	  166		16060: Carbondale, IL µSA | 32060: Marion-Herrin, IL µSA
Charlotte-Gastonia-Salisbury, NC-SC                          	CSA	  172		10620: Albemarle, NC µSA | 16740: Charlotte-Gastonia-Rock Hill, NC-SC MSA | 16900: Chester, SC µSA | 29580: Lancaster, SC µSA | 30740: Lincolnton, NC µSA | 41580: Salisbury, NC µSA | 43140: Shelby, NC µSA | 44380: Statesville-Mooresville, NC µSA
Chattanooga-Cleveland-Athens, TN-GA                          	CSA	  174		11940: Athens, TN µSA | 16860: Chattanooga, TN-GA MSA | 17420: Cleveland, TN MSA
Chicago-Naperville-Michigan City, IL-IN-WI                   	CSA	  176		16980: Chicago-Joliet-Naperville, IL-IN-WI MSA | 28100: Kankakee-Bradley, IL MSA | 33140: Michigan City-La Porte, IN MSA
Cincinnati-Middletown-Wilmington, OH-KY-IN                   	CSA	  178		17140: Cincinnati-Middletown, OH-KY-IN MSA | 48940: Wilmington, OH µSA
Claremont-Lebanon, NH-VT                                     	CSA	  180		17200: Claremont, NH µSA | 30100: Lebanon, NH-VT µSA
Cleveland-Akron-Elyria, OH                                   	CSA	  184		10420: Akron, OH MSA | 11780: Ashtabula, OH µSA | 17460: Cleveland-Elyria-Mentor, OH MSA
Clovis-Portales, NM                                          	CSA	  188		17580: Clovis, NM µSA | 38780: Portales, NM µSA
Columbia-Newberry, SC                                        	CSA	  192		17900: Columbia, SC MSA | 35140: Newberry, SC µSA
Columbus-Auburn-Opelika, GA-AL                               	CSA	  194		12220: Auburn-Opelika, AL MSA | 17980: Columbus, GA-AL MSA | 46260: Tuskegee, AL µSA
Columbus-Marion-Chillicothe, OH                              	CSA	  198		17060: Chillicothe, OH µSA | 18140: Columbus, OH MSA | 32020: Marion, OH µSA | 34540: Mount Vernon, OH µSA | 47920: Washington Court House, OH µSA
Columbus-West Point, MS                                      	CSA	  200		18060: Columbus, MS µSA | 48500: West Point, MS µSA
Corbin-London, KY                                            	CSA	  202		18340: Corbin, KY µSA | 30940: London, KY µSA
Corpus Christi-Kingsville, TX                                	CSA	  204		18580: Corpus Christi, TX MSA | 28780: Kingsville, TX µSA
Dallas-Fort Worth, TX                                        	CSA	  206		11980: Athens, TX µSA | 14300: Bonham, TX µSA | 19100: Dallas-Fort Worth-Arlington, TX MSA | 23620: Gainesville, TX µSA | 24180: Granbury, TX µSA | 33420: Mineral Wells, TX µSA | 43300: Sherman-Denison, TX MSA
Dayton-Springfield-Greenville, OH                            	CSA	  212		19380: Dayton, OH MSA | 24820: Greenville, OH µSA | 44220: Springfield, OH MSA | 46500: Urbana, OH µSA
Denver-Aurora-Boulder, CO                                    	CSA	  216		14500: Boulder, CO MSA | 19740: Denver-Aurora-Broomfield, CO MSA | 24540: Greeley, CO MSA
Des Moines-Newton-Pella, IA                                  	CSA	  218		19780: Des Moines-West Des Moines, IA MSA | 35500: Newton, IA µSA | 37800: Pella, IA µSA
Detroit-Warren-Flint, MI                                     	CSA	  220		11460: Ann Arbor, MI MSA | 19820: Detroit-Warren-Livonia, MI MSA | 22420: Flint, MI MSA | 33780: Monroe, MI MSA
Dothan-Enterprise-Ozark, AL                                  	CSA	  222		20020: Dothan, AL MSA | 21460: Enterprise-Ozark, AL µSA
Eau Claire-Menomonie, WI                                     	CSA	  232		20740: Eau Claire, WI MSA | 32860: Menomonie, WI µSA
Fairmont-Clarksburg, WV                                      	CSA	  242		17220: Clarksburg, WV µSA | 21900: Fairmont, WV µSA
Fargo-Wahpeton, ND-MN                                        	CSA	  244		22020: Fargo, ND-MN MSA | 47420: Wahpeton, ND-MN µSA
