Primary Census Statistical Area                                	2011 Estimate	2010 Census	CnsusID	Type	Abbr	Rank	Change	Core Based Statistical Areas

New York-Newark-Bridgeport, NY-NJ-CT-PA                    	     22214083	   22085649	  408	CSA	Ny	   1	+0.58%	New York-Northern New Jersey-Long Island, NY-NJ-PA MSA | Bridgeport-Stamford-Norwalk, CT MSA | New Haven-Milford, CT MSA | Poughkeepsie-Newburgh-Middletown, NY MSA | Trenton-Ewing, NJ MSA | Torrington, CT µSA | Kingston, NY MSA
Los Angeles-Long Beach-Riverside, CA                       	     18081569	   17877006	  348	CSA	La	   2	+1.14%	Los Angeles-Long Beach-Santa Ana, CA MSA | Riverside-San Bernardino-Ontario, CA MSA | Oxnard-Thousand Oaks-Ventura, CA MSA
Chicago-Naperville-Michigan City, IL-IN-WI                 	      9729825	    9686021	  176	CSA	Chi	   3	+0.45%	Chicago-Naperville-Joliet, IL-IN-WI MSA | Kankakee-Bradley, IL MSA | Michigan City-La Porte, IN MSA
Washington-Baltimore-Northern Virginia, DC-MD-VA-WV        	      8718083	    8572971	  548	CSA	Dcb	   4	+1.69%	Washington-Arlington-Alexandria, DC-VA-MD-WV MSA | Baltimore-Towson, MD MSA | Winchester, VA-WV MSA | Lexington Park, MD µSA | Culpeper, VA µSA
Boston-Worcester-Manchester, MA-RI-NH                      	      7601061	    7559060	  148	CSA	Bos	   5	+0.56%	Boston-Cambridge-Quincy, MA-NH MSA | Providence-New Bedford-Fall River, RI-MA MSA | Worcester, MA MSA | Manchester-Nashua, NH MSA | Concord, NH µSA | Laconia, NH µSA
San Jose-San Francisco-Oakland, CA                         	      7563460	    7468390	  488	CSA	Sfo	   6	+1.27%	San Francisco-Oakland-Fremont, CA MSA | San Jose-Sunnyvale-Santa Clara, CA MSA | Santa Rosa-Petaluma, CA MSA | Vallejo-Fairfield, CA MSA | Santa Cruz-Watsonville, CA MSA | Napa, CA MSA
Dallas-Fort Worth, TX                                      	      6887383	    6731317	  206	CSA	Dfw	   7	+2.32%	Dallas-Fort Worth-Arlington, TX MSA | Sherman-Denison, TX MSA | Athens, TX µSA | Granbury, TX µSA | Gainesville, TX µSA | Bonham, TX µSA | Mineral Wells, TX µSA
Philadelphia-Camden-Vineland, PA-NJ-DE-MD                  	      6562287	    6533683	  428	CSA	Phi	   8	+0.44%	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA | Reading, PA MSA | Vineland-Millville-Bridgeton, NJ MSA
Houston-Baytown-Huntsville, TX                             	      6191434	    6051363	  288	CSA	Hou	   9	+2.31%	Houston-Sugar Land-Baytown, TX MSA | Huntsville, TX µSA | Bay City, TX µSA
