1	New York-Newark-Jersey City, NY-NJ-PA	MSA	19949502	19567410	1.95	New York-Newark, NY-NJ-CT-PA CSA
2	Los Angeles-Long Beach-Anaheim, CA	MSA	13131431	12828837	2.36	Los Angeles-Long Beach, CA CSA
3	Chicago-Naperville-Elgin, IL-IN-WI	MSA	9537289	9461105	0.81	Chicago-Naperville, IL-IN-WI CSA
4	Dallas-Fort Worth-Arlington, TX	MSA	6810913	6426214	5.99	Dallas-Fort Worth, TX-OK CSA
5	Houston-The Woodlands-Sugar Land, TX	MSA	6313158	5920416	6.63	Houston-The Woodlands, TX CSA
6	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	MSA	6034678	5965343	1.16	Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA
7	Washington-Arlington-Alexandria, DC-VA-MD-WV	MSA	5949859	5636232	5.56	Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA
8	Miami-Fort Lauderdale-West Palm Beach, FL	MSA	5828191	5564635	4.74	Miami-Fort Lauderdale-Port St. Lucie, FL CSA
9	Atlanta-Sandy Springs-Roswell, GA	MSA	5522942	5286728	4.47	Atlanta-Athens-Clarke County-Sandy Springs, GA CSA
10	Boston-Cambridge-Newton, MA-NH	MSA	4684299	4552402	2.90	Boston-Worcester-Providence, MA-RI-NH-CT CSA
11	San Francisco-Oakland-Hayward, CA	MSA	4516276	4335391	4.17	San Jose-San Francisco-Oakland, CA CSA
12	Phoenix-Mesa-Scottsdale, AZ	MSA	4398762	4192887	4.91	
13	Riverside-San Bernardino-Ontario, CA	MSA	4380878	4224851	3.69	Los Angeles-Long Beach, CA CSA
14	Detroit-Warren-Dearborn, MI	MSA	4294983	4296250	-0.03	Detroit-Warren-Ann Arbor, MI CSA
15	Seattle-Tacoma-Bellevue, WA	MSA	3610105	3439809	4.95	Seattle-Tacoma, WA CSA
16	Minneapolis-St. Paul-Bloomington, MN-WI	MSA	3459146	3348859	3.29	Minneapolis-St. Paul, MN-WI CSA
17	San Diego-Carlsbad, CA	MSA	3211252	3095313	3.75	
18	Tampa-St. Petersburg-Clearwater, FL	MSA	2870569	2783243	3.14	
19	St. Louis, MO-IL	MSA	2810056	2787701	0.80	St. Louis-St. Charles-Farmington, MO-IL CSA
