Rank	Name                                                    	Population	Area km^2	pop/km^2
   1	New York--Newark, NY--NJ--CT                            	  18351295	  8936.0	  2053.6
   2	Los Angeles--Long Beach--Anaheim, CA                    	  12150996	  4496.3	  2702.5
   3	Chicago, IL--IN                                         	   8608208	  6326.7	  1360.6
   4	Miami, FL                                               	   5502379	  3208.0	  1715.2
   5	Philadelphia, PA--NJ--DE--MD                            	   5441567	  5131.7	  1060.4
   6	Dallas--Fort Worth--Arlington, TX                       	   5121892	  4607.9	  1111.5
   7	Houston, TX                                             	   4944332	  4299.4	  1150.0
   8	Washington, DC--VA--MD                                  	   4586770	  3423.3	  1339.9
   9	Atlanta, GA                                             	   4515419	  6851.4	   659.0
  10	Boston, MA--NH--RI                                      	   4181019	  4852.2	   861.7
  11	Detroit, MI                                             	   3734090	  3463.2	  1078.2
  12	Phoenix--Mesa, AZ                                       	   3629114	  2969.6	  1222.1
  13	San Francisco--Oakland, CA                              	   3281212	  1356.2	  2419.5
  14	Seattle, WA                                             	   3059393	  2616.7	  1169.2
  15	San Diego, CA                                           	   2956746	  1896.9	  1558.7
  16	Minneapolis--St. Paul, MN--WI                           	   2650890	  2646.5	  1001.7
  17	Tampa--St. Petersburg, FL                               	   2441770	  2478.6	   985.1
  18	Denver--Aurora, CO                                      	   2374203	  1730.0	  1372.4
  19	Baltimore, MD                                           	   2203663	  1857.1	  1186.6
  20	St. Louis, MO--IL                                       	   2150706	  2392.2	   899.0
  21	San Juan, PR                                            	   2148346	  2244.7	   957.1
  22	Riverside--San Bernardino, CA                           	   1932666	  1411.5	  1369.3
  23	Las Vegas--Henderson, NV                                	   1886011	  1079.6	  1746.9
  24	Portland, OR--WA                                        	   1849898	  1358.1	  1362.1
  25	Cleveland, OH                                           	   1780673	  1999.4	   890.6
  26	San Antonio, TX                                         	   1758210	  1546.5	  1136.9
  27	Pittsburgh, PA                                          	   1733853	  2344.4	   739.6
  28	Sacramento, CA                                          	   1723634	  1219.8	  1413.0
  29	San Jose, CA                                            	   1664496	   740.7	  2247.2
  30	Cincinnati, OH--KY--IN                                  	   1624827	  2040.2	   796.4
  31	Kansas City, MO--KS                                     	   1519417	  1755.6	   865.5
  32	Orlando, FL                                             	   1510516	  1548.0	   975.8
  33	Indianapolis, IN                                        	   1487483	  1827.9	   813.8
  34	Virginia Beach, VA                                      	   1439666	  1335.0	  1078.4
  35	Milwaukee, WI                                           	   1376476	  1413.2	   974.0
  36	Columbus, OH                                            	   1368035	  1322.1	  1034.7
  37	Austin, TX                                              	   1362416	  1354.7	  1005.7
  38	Charlotte, NC--SC                                       	   1249442	  1920.5	   650.6
  39	Providence, RI--MA                                      	   1190956	  1411.7	   843.7
  40	Jacksonville, FL                                        	   1065219	  1373.6	   775.5
  41	Memphis, TN--MS--AR                                     	   1060061	  1288.0	   823.0
  42	Salt Lake City--West Valley City, UT                    	   1021243	   719.7	  1418.9
  43	Louisville/Jefferson County, KY--IN                     	    972546	  1234.7	   787.7
  44	Nashville-Davidson, TN                                  	    969587	  1459.4	   664.4
  45	Richmond, VA                                            	    953556	  1274.7	   748.1
  46	Buffalo, NY                                             	    935906	   984.0	   951.1
  47	Hartford, CT                                            	    924859	  1337.1	   691.7
  48	Bridgeport--Stamford, CT--NY                            	    923311	  1207.5	   764.7
  49	New Orleans, LA                                         	    899703	   651.1	  1381.8
  50	Raleigh, NC                                             	    884891	  1342.0	   659.4
  51	Oklahoma City, OK                                       	    861505	  1063.5	   810.0
  52	Tucson, AZ                                              	    843168	   915.5	   921.0
  53	El Paso, TX--NM                                         	    803086	   649.0	  1237.5
  54	Urban Honolulu, HI                                      	    802459	   440.7	  1820.7
  55	Birmingham, AL                                          	    749495	  1372.4	   546.1
  56	Albuquerque, NM                                         	    741318	   649.0	  1142.3
  57	McAllen, TX                                             	    728825	   927.2	   786.1
  58	Omaha, NE--IA                                           	    725008	   702.4	  1032.1
  59	Dayton, OH                                              	    724091	   910.2	   795.5
  60	Rochester, NY                                           	    720572	   840.4	   857.4
  61	Allentown, PA--NJ                                       	    664651	   896.9	   741.1
  62	Tulsa, OK                                               	    655479	   870.0	   753.4
  63	Fresno, CA                                              	    654628	   443.6	  1475.6
  64	Sarasota--Bradenton, FL                                 	    643260	   846.1	   760.3
  65	Springfield, MA--CT                                     	    621300	   902.8	   688.2
  66	Concord, CA                                             	    615968	   527.7	  1167.2
  67	Albany--Schenectady, NY                                 	    594962	   765.9	   776.8
  68	Baton Rouge, LA                                         	    594309	   950.0	   625.6
  69	Mission Viejo--Lake Forest--San Clemente, CA            	    583681	   389.9	  1497.1
  70	Grand Rapids, MI                                        	    569935	   726.7	   784.3
  71	Akron, OH                                               	    569499	   842.7	   675.8
  72	New Haven, CT                                           	    562839	   792.8	   709.9
  73	Colorado Springs, CO                                    	    559409	   486.5	  1149.9
  74	Knoxville, TN                                           	    558696	  1134.8	   492.3
  75	Columbia, SC                                            	    549777	   984.3	   558.6
  76	Charleston--North Charleston, SC                        	    548404	   759.8	   721.8
  77	Ogden--Layton, UT                                       	    546026	   563.5	   969.1
  78	Cape Coral, FL                                          	    530290	   855.5	   619.9
  79	Bakersfield, CA                                         	    523994	   358.6	  1461.4
  80	Toledo, OH--MI                                          	    507643	   622.7	   815.2
  81	Worcester, MA--CT                                       	    486514	   787.6	   617.7
  82	Provo--Orem, UT                                         	    482819	   437.6	  1103.2
  83	Wichita, KS                                             	    472870	   556.2	   850.2
  84	Palm Bay--Melbourne, FL                                 	    452791	   600.8	   753.6
  85	Des Moines, IA                                          	    450070	   519.5	   866.3
  86	Harrisburg, PA                                          	    444474	   672.6	   660.9
  87	Murrieta--Temecula--Menifee, CA                         	    441546	   418.9	  1054.2
  88	Little Rock, AR                                         	    431388	   669.0	   644.8
  89	Poughkeepsie--Newburgh, NY--NJ                          	    423566	   847.3	   499.9
  90	Syracuse, NY                                            	    412317	   504.9	   816.7
  91	Lancaster, PA                                           	    402004	   641.1	   627.1
  92	Madison, WI                                             	    401661	   391.1	  1027.0
  93	Greenville, SC                                          	    400492	   829.4	   482.9
