Country code	Note	Country, Geographical area or Global service
0		Reserved
1		American Samoa
1	b	Anguilla
1	b	Antigua and Barbuda
1	b	Bahamas (Commonwealth of the)
1	b	Barbados
1	b	Bermuda
1	b	British Virgin Islands
1	b	Canada
1	b	Cayman Islands
1	b	Dominica (Commonwealth of)
1	b	Dominican Republic
1	b	Grenada
1	b	Guam
1	b	Jamaica
1	b	Montserrat
1	b	Northern Mariana Islands (Commonwealth of the)
1	b	Puerto Rico
1	b	Saint Kitts and Nevis
1	b	Saint Lucia
1	b	Saint Vincent and the Grenadines
1	b	Trinidad and Tobago
1	b	Turks and Caicos Islands
1	b	United States of America
1	b	United States Virgin Islands
7	b	Kazakhstan (Republic of)
7	b	Russian Federation
20		Egypt (Arab Republic of)
27		South Africa (Republic of)
30		Greece
31		Netherlands (Kingdom of the)
32		Belgium
33		France
34		Spain
36		Hungary (Republic of)
39		Italy
39		Vatican City State
40		Romania
41		Switzerland (Confederation of)
43		Austria
44		United Kingdom of Great Britain and Northern Ireland
45		Denmark
46		Sweden
47		Norway
48		Poland (Republic of)
49		Germany (Federal Republic of)
51		Peru
52		Mexico
53		Cuba
54		Argentine Republic
55		Brazil (Federative Republic of)
56		Chile
57		Colombia (Republic of)
58		Venezuela (Bolivarian Republic of)
60		Malaysia
61	i	Australia
62		Indonesia (Republic of)
63		Philippines (Republic of the)
64		New Zealand
65		Singapore (Republic of)
66		Thailand
81		Japan
82		Korea (Republic of)
84		Viet Nam (Socialist Republic of)
86		China (People's Republic of)
90		Turkey
91		India (Republic of)
92		Pakistan (Islamic Republic of)
93		Afghanistan
94		Sri Lanka (Democratic Socialist Republic of)
95		Myanmar (Union of)
98		Iran (Islamic Republic of)
210		Spare code
211		Spare code
212		Morocco (Kingdom of)
213		Algeria (People's Democratic Republic of)
214		Spare code
215		Spare code
216		Tunisia
217		Spare code
218		Libya (Socialist People's Libyan Arab Jamahiriya)
219		Spare code
220		Gambia (Republic of the)
221		Senegal (Republic of)
222		Mauritania (Islamic Republic of)
223		Mali (Republic of)
224		Guinea (Republic of)
225		Côte d'Ivoire (Republic of)
226		Burkina Faso
227		Niger (Republic of the)
228		Togolese Republic
229		Benin (Republic of)
230		Mauritius (Republic of)
231		Liberia (Republic of)
232		Sierra Leone
233		Ghana
234		Nigeria (Federal Republic of)
235		Chad (Republic of)
236		Central African Republic
237		Cameroon (Republic of)
238		Cape Verde (Republic of)
239		Sao Tome and Principe (Democratic Republic of)
240		Equatorial Guinea (Republic of)
241		Gabonese Republic
242		Congo (Republic of the)
243		Democratic Republic of the Congo
244		Angola (Republic of)
245		Guinea-Bissau (Republic of)
246		Diego Garcia
247		Ascension
248		Seychelles (Republic of)
249		Sudan (Republic of the)
250		Rwanda (Republic of)
251		Ethiopia (Federal Democratic Republic of)
252		Somali Democratic Republic
253		Djibouti (Republic of)
254		Kenya (Republic of)
255		Tanzania (United Republic of)
256		Uganda (Republic of)
257		Burundi (Republic of)
258		Mozambique (Republic of)
259		Spare code
260		Zambia (Republic of)
261		Madagascar (Republic of)
262		Reunion (French Department of)
263		Zimbabwe (Republic of)
264		Namibia (Republic of)
265		Malawi
266		Lesotho (Kingdom of)
267		Botswana (Republic of)
268		Swaziland (Kingdom of)
269	c	Comoros (Union of the)
269	c	Mayotte
280	m	Spare code
281	m	Spare code
282	m	Spare code
283	m	Spare code
284	m	Spare code
285	m	Spare code
286	m	Spare code
287	m	Spare code
288	m	Spare code
289	m	Spare code
290		Saint Helena
291		Eritrea
292		Spare code
293		Spare code
294		Spare code
295		Spare code
296		Spare code
297		Aruba
298		Faroe Islands
299		Greenland (Denmark)
350		Gibraltar
351		Portugal
352		Luxembourg
353		Ireland
354		Iceland
355		Albania (Republic of)
356		Malta
357		Cyprus (Republic of)
358		Finland
359		Bulgaria (Republic of)
370		Lithuania (Republic of)
371		Latvia (Republic of)
372		Estonia (Republic of)
373		Moldova (Republic of)
374		Armenia (Republic of)
375		Belarus (Republic of)
376		Andorra (Principality of)
377		Monaco (Principality of)
378		San Marino (Republic of)
379	f	Vatican City State
380		Ukraine
381		Serbia and Montenegro
382		Spare code
383		Spare code
384		Spare code
385		Croatia (Republic of)
386		Slovenia (Republic of)
387		Bosnia and Herzegovina
388	a	Group of countries, shared code
389		The Former Yugoslav Republic of Macedonia
420		Czech Republic
421		Slovak Republic
422		Spare code
423		Liechtenstein (Principality of)
424		Spare code
425		Spare code
426		Spare code
427		Spare code
428		Spare code
429		Spare code
500		Falkland Islands (Malvinas)
501		Belize
502		Guatemala (Republic of)
503		El Salvador (Republic of)
504		Honduras (Republic of)
505		Nicaragua
506		Costa Rica
507		Panama (Republic of)
508		Saint Pierre and Miquelon (Collectivité territoriale de la République française)
509		Haiti (Republic of)
590		Guadeloupe (French Department of)
591		Bolivia (Republic of)
592		Guyana
593		Ecuador
594		French Guiana (French Department of)
595		Paraguay (Republic of)
596		Martinique (French Department of)
597		Suriname (Republic of)
598		Uruguay (Eastern Republic of)
599		Netherlands Antilles
670		Democratic Republic of Timor-Leste
671		Spare code
672	g	Australian External Territories
673		Brunei Darussalam
674		Nauru (Republic of)
675		Papua New Guinea
676		Tonga (Kingdom of)
677		Solomon Islands
678		Vanuatu (Republic of)
679		Fiji (Republic of)
680		Palau (Republic of)
681		Wallis and Futuna (Territoire français d'outre-mer)
682		Cook Islands
683		Niue
684		Spare code
685		Samoa (Independent State of)
686		Kiribati (Republic of)
687		New Caledonia (Territoire français d'outre-mer)
688		Tuvalu
689		French Polynesia (Territoire français d'outre-mer)
690		Tokelau
691		Micronesia (Federated States of)
692		Marshall Islands (Republic of the)
693		Spare code
694		Spare code
695		Spare code
696		Spare code
697		Spare code
698		Spare code
699		Spare code
800		International Freephone Service
801	d	Spare code
802	d	Spare code
803	d	Spare code
804	d	Spare code
805	d	Spare code
806	d	Spare code
807	d	Spare code
808		International Shared Cost Service (ISCS)
809	d	Spare code
830	m	Spare code
831	m	Spare code
832	m	Spare code
833	m	Spare code
834	m	Spare code
835	m	Spare code
836	m	Spare code
837	m	Spare code
838	m	Spare code
839	m	Spare code
850		Democratic People's Republic of Korea
851		Spare code
852		Hong Kong, China
853		Macao, China
854		Spare code
855		Cambodia (Kingdom of)
856		Lao People's Democratic Republic
857		Spare code
858		Spare code
859		Spare code
870		Inmarsat SNAC
871		Inmarsat (Atlantic Ocean-East)
872		Inmarsat (Pacific Ocean)
873		Inmarsat (Indian Ocean)
874		Inmarsat (Atlantic Ocean-West)
875		Reserved - Maritime Mobile Service Applications
876		Reserved - Maritime Mobile Service Applications
877		Reserved - Maritime Mobile Service Applications
878	e	Universal Personal Telecommunication Service (UPT)
879		Reserved for national non-commercial purposes
880		Bangladesh (People's Republic of)
881	k	International Mobile, shared code
882	j	International Networks, shared code
883		Spare code
884		Spare code
885		Spare code
886		Reserved
887		Spare code
888		Reserved for future global service
889		Spare code
890	m	Spare code
891	m	Spare code
892	m	Spare code
893	m	Spare code
894	m	Spare code
895	m	Spare code
896	m	Spare code
897	m	Spare code
898	m	Spare code
899	m	Spare code
960		Maldives (Republic of)
961		Lebanon
962		Jordan (Hashemite Kingdom of)
963		Syrian Arab Republic
964		Iraq (Republic of)
965		Kuwait (State of)
966		Saudi Arabia (Kingdom of)
967		Yemen (Republic of)
968		Oman (Sultanate of)
969		Reserved - reservation currently under investigation
970	l	Reserved
971	h	United Arab Emirates
972		Israel (State of)
973		Bahrain (Kingdom of)
974		Qatar (State of)
975		Bhutan (Kingdom of)
976		Mongolia
977		Nepal
978		Spare code
979		International Premium Rate Service (IPRS)
990		Spare code
991		Trial of a proposed new international telecommunication public correspondence service, shared code
992		Tajikistan (Republic of)
993		Turkmenistan
994		Azerbaijani Republic
995		Georgia
996		Kyrgyz Republic
997		Spare code
998		Uzbekistan (Republic of)
999		Reserved for possible future use within the Telecommunications for Disaster Relief (TDR) concept
