Code	Status	Partner_Agency	639_3	639_2	B_Code	bt_equiv	639_1	Reference_Name	Element_Scope	Language_Type	Documentation
aaa	A	SIL	aaa					Ghotuo	I	L	SIL
aab	A	SIL	aab					Alumu-Tesu	I	L	SIL
aac	A	SIL	aac					Ari	I	L	SIL
aad	A	SIL	aad					Amal	I	L	SIL
aae	A	SIL	aae					Arbëreshë Albanian	I	L	SIL
aaf	A	SIL	aaf					Aranadan	I	L	SIL
aag	A	SIL	aag					Ambrak	I	L	SIL
aah	A	SIL	aah					Abu' Arapesh	I	L	
aai	A	SIL	aai					Arifama-Miniafia	I	L	SIL
aak	A	SIL	aak					Ankave	I	L	SIL
aal	A	SIL	aal					Afade	I	L	SIL
aam	A	SIL	aam					Aramanik	I	L	SIL
aan	A	SIL	aan					Anambé	I	L	SIL
aao	A	SIL	aao					Algerian Saharan Arabic	I	L	SIL
aap	A	SIL	aap					Pará Arára	I	L	SIL
aaq	A	SIL	aaq					Eastern Abnaki	I	E	SIL
aar	A	JAC	aar	aar			aa	Afar	I	L	SIL
aas	A	SIL	aas					Aasáx	I	L	SIL
aat	A	SIL	aat					Arvanitika Albanian	I	L	SIL
aau	A	SIL	aau					Abau	I	L	SIL
aav	A	JAC5		aav				Austro-Asiatic languages	C	Genetic	
aaw	A	SIL	aaw					Solong	I	L	SIL
aax	A	SIL	aax					Mandobo Atas	I	L	SIL
aay	R	SIL	aay					Aariya	I	L	
aaz	A	SIL	aaz					Amarasi	I	L	SIL
aba	A	SIL	aba					Abé	I	L	SIL
abb	A	SIL	abb					Bankon	I	L	SIL
abc	A	SIL	abc					Ambala Ayta	I	L	SIL
abd	A	SIL	abd					Manide	I	L	SIL
abe	A	SIL	abe					Western Abnaki	I	E	SIL
abf	A	SIL	abf					Abai Sungai	I	L	SIL
abg	A	SIL	abg					Abaga	I	L	SIL
abh	A	SIL	abh					Tajiki Arabic	I	L	SIL
abi	A	SIL	abi					Abidji	I	L	SIL
abj	A	SIL	abj					Aka-Bea	I	E	SIL
abk	A	JAC	abk	abk			ab	Abkhazian	I	L	SIL
abl	A	SIL	abl					Lampung Nyo	I	L	SIL
abm	A	SIL	abm					Abanyom	I	L	SIL
abn	A	SIL	abn					Abua	I	L	SIL
abo	A	SIL	abo					Abon	I	L	SIL
abp	A	SIL	abp					Abellen Ayta	I	L	SIL
abq	A	SIL	abq					Abaza	I	L	SIL
abr	A	SIL	abr					Abron	I	L	SIL
abs	A	SIL	abs					Ambonese Malay	I	L	SIL
abt	A	SIL	abt					Ambulas	I	L	SIL
abu	A	SIL	abu					Abure	I	L	SIL
abv	A	SIL	abv					Baharna Arabic	I	L	SIL
abw	A	SIL	abw					Pal	I	L	SIL
abx	A	SIL	abx					Inabaknon	I	L	SIL
aby	A	SIL	aby					Aneme Wake	I	L	SIL
abz	A	SIL	abz					Abui	I	L	SIL
aca	A	SIL	aca					Achagua	I	L	SIL
acb	A	SIL	acb					Áncá	I	L	SIL
acc	R	SIL	acc					Cubulco Achí	I	L	
acd	A	SIL	acd					Gikyode	I	L	SIL
ace	A	JAC	ace	ace				Achinese	I	L	SIL
acf	A	SIL	acf					Saint Lucian Creole French	I	L	SIL
