aaa			I	Active	L	Ghotuo		Ghotuo
aab			I	Active	L	Alumu-Tesu		Alumu-Tesu
aac			I	Active	L	Ari		Ari
aad			I	Active	L	Amal		Amal
aae			I	Active	L	Albanian, Arbëreshë	Albanian, Arbëreshë	Arbëreshë Albanian
aaf			I	Active	L	Aranadan		Aranadan
aag			I	Active	L	Ambrak		Ambrak
aah			I	Active	L	Arapesh, Abu'	Arapesh, Abu'	Abu' Arapesh
aai			I	Active	L	Arifama-Miniafia		Arifama-Miniafia
aak			I	Active	L	Ankave		Ankave
aal			I	Active	L	Afade		Afade
aam			I	Active	L	Aramanik		Aramanik
aan			I	Active	L	Anambé		Anambé
aao			I	Active	L	Arabic, Algerian Saharan	Arabic, Algerian Saharan	Algerian Saharan Arabic
aap			I	Active	L	Arára, Pará	Arára, Pará	Pará Arára
aaq			I	Active	E	Abnaki, Eastern	Abnaki, Eastern	Eastern Abnaki
aar	aa	aar	I	Active	L	Afar		Afar
aas			I	Active	L	Aasáx		Aasáx
aat			I	Active	L	Albanian, Arvanitika	Albanian, Arvanitika	Arvanitika Albanian
aau			I	Active	L	Abau		Abau
aav		aav	C	Active	Genetic	Austro-Asiatic languages		Austro-Asiatic languages
aaw			I	Active	L	Solong		Solong
aax			I	Active	L	Mandobo Atas		Mandobo Atas
aay			I	Retired	L	Aariya		Aariya
aaz			I	Active	L	Amarasi		Amarasi
aba			I	Active	L	Abé		Abé
abb			I	Active	L	Bankon		Bankon
abc			I	Active	L	Ayta, Ambala	Ayta, Ambala	Ambala Ayta
abd			I	Active	L	Manide		Manide
abe			I	Active	E	Abnaki, Western	Abnaki, Western	Western Abnaki
abf			I	Active	L	Abai Sungai		Abai Sungai
abg			I	Active	L	Abaga		Abaga
abh			I	Active	L	Arabic, Tajiki	Arabic, Tajiki	Tajiki Arabic
abi			I	Active	L	Abidji		Abidji
abj			I	Active	E	Aka-Bea		Aka-Bea
abk	ab	abk	I	Active	L	Abkhazian		Abkhazian
abl			I	Active	L	Lampung Nyo		Lampung Nyo
abm			I	Active	L	Abanyom		Abanyom
abn			I	Active	L	Abua		Abua
abo			I	Active	L	Abon		Abon
abp			I	Active	L	Ayta, Abellen	Ayta, Abellen	Abellen Ayta
abq			I	Active	L	Abaza		Abaza
abr			I	Active	L	Abron		Abron
abs			I	Active	L	Malay, Ambonese	Malay, Ambonese	Ambonese Malay
abt			I	Active	L	Ambulas		Ambulas
abu			I	Active	L	Abure		Abure
abv			I	Active	L	Arabic, Baharna	Arabic, Baharna	Baharna Arabic
abw			I	Active	L	Pal		Pal
abx			I	Active	L	Inabaknon		Inabaknon
aby			I	Active	L	Aneme Wake		Aneme Wake
abz			I	Active	L	Abui		Abui
aca			I	Active	L	Achagua		Achagua
acb			I	Active	L	Áncá		Áncá
acc			I	Retired	L	Achí, Cubulco	Achí, Cubulco	Cubulco Achí
acd			I	Active	L	Gikyode		Gikyode
ace		ace	I	Active	L	Achinese		Achinese
acf			I	Active	L	Creole French, Saint Lucian	Creole French, Saint Lucian	Saint Lucian Creole French
ach		ach	I	Active	L	Acoli		Acoli
aci			I	Active	E	Aka-Cari		Aka-Cari
ack			I	Active	E	Aka-Kora		Aka-Kora
acl			I	Active	E	Akar-Bale		Akar-Bale
acm			I	Active	L	Arabic, Mesopotamian	Arabic, Mesopotamian	Mesopotamian Arabic
acn			I	Active	L	Achang		Achang
