AHMECGARH (India),
AL-gonfatha (Saudi Arabia),
Aachen (near Cologne) (Germany),
Aalborg (Denmark),
Aalst (Belgium),
Aandurah (Western Australia),
Aarau (Switzerland),
Aarhus (Denmark),
Aarle-Rixtel (Netherlands),
Abadania (Brazil),
Abbeville (Lake Secession), SC
Abbeville, LA
Abbeville, SC
Abbotsford (Canada), BC
Abercarn (UK/Wales),
Aberdare (UK/Wales),
Aberdeen (UK/Scotland),
Aberdeen, MD
Aberdeen, NC
Aberdeen, NJ
Aberdeen, OH
Aberdeen, SD
Aberdeen, WA
Abersoch (UK/Wales),
Abilene and Ft. Worth (Interstate 20 East between), TX
Abilene, KS
Abilene, TX
Abingdon (UK/England),
Abingdon, IL
Abingdon, MD
Abingdon, VA
Abington, MA
Abington, PA
Abita Springs, LA
Ablene, TX
Abrantes (Portugal),
Abu Dhabi (U.A.E.), IN
Abu Dhabi (UAE),
Abu Dhabi (United Arab Emirates),
Academy, TX
Acambaro (Mexico),
Acampo, CA
Acapulco (Guerrero, Mexico),
Accokeek, MD
Accord, NY
Accra (Ghana),
Accrington (UK/England),
Accrington, Lancashire (UK/England),
Achusnet, MA
Ackerman, MS
Acme, MI
Acme, PA
Acoma, NM
Acton (Canada), ON
Acton (approx.), CA
Acton Vale (Canada), QC
Acton or Palmdale, CA
Acton to Chelmsford, MA
Acton, CA
Acton, ME
Acton/Aqua Dulce, CA
Acushnet, MA
Acusnet, MA
Acworth, GA
Ada, MI
Ada, MN
Ada, OH
Ada, OK
Adachi (Japan),
Adair County, IA
Adair, IA
Adairsville, GA
Adairville, KY
Adak, AK
Adams County, OH
Adams, NY
Adams, TN
Adams, WI
Adamsville, AL
Adamsville, OH
Adamsville, PA
Adana (Turkey),
Addingham (UK/England),
Addis Ababa (Ethiopia),
Addison (I-355 and US 20 (Lake St.), IL
Addison, AL
Addison, NY
Addison, PA
Addison, TX
Addlestone (UK/England),
Addlestone (near Heathrow Airport) (UK/England),
Addy, WA
Adelaide  (South Australia),
Adelaide  (South Australia), OH
Adelaide  (South Australia), SA
Adelaide (Aldinga Beach) (South Australia),
Adelaide (Australia),
Adelaide (Australia), SA
Adelaide (Pt. Wakefield) (South Australia),
Adelaide (South Australia),
Adelaide,
Adelantlo, CA
Adelanto, CA
Adjuntas (Puerto Rico),
Adjuntas, (Puerto Rico),
Adkins, TX
Adrian, MI
Adrian/Jackson (between), MI
Adriatic Sea (near Hvar) (Croatia),
Advance, NC
Aegean Sea (Greece),
Aegean Sea (Turkey/Greece),
Afghanistan (Forward Operating Base),
Afghanistan,
Afton, MI
Afton, OK
Afton, VA
Afyon (Turkey),
Agawam, MA
Agency, MO
Agoura Hills, CA
Agria - Volos (Greece), .
Agua Dulce, CA
Aguas Claras (Costa Rica),
Aguascalientes (Mexico), .
Aguila, AZ
Aguilar, CO
Ahmedabad (India), .
Ahmedabad-Vadodra Express Highway. Gujarat (India),
Ahwahnee, CA
Ahwatukee, AZ
Ahwatukee-Foothills (Phoenix), AZ
Aiea, HI
Aiken, SC
Ainaro (East Timor),
Ainsworth, NE
Airdrie (Canada), AB
Airdrie (UK/Scotland),
Airway Heights, WA
Aitkin, MN
Ajax (Canada), ON
Ajax/Toronto (Canada), ON
Ajijic (Mexico),
Ajman (United Arab Emirates),
Ajo (and Southern Arizona), AZ
Ajo, AZ
Ajo, OR
Akeley, MN
Akin, IL
Akron (north of), OH
Akron, MI
Akron, OH
Akumal, Quintana Roo (Mexico),
Akureyri (Iceland),
Al - Jubail (approx. 35 miles sw of) (Saudi Arabia),
Al Andalus (Kuwait),
Al Asad (near Hit) (Iraq),
Al-Ain (UAE),
Alabama (above; in flight), AL
Alabama (in-flight @ 35,000'), GA
Alabama (location unspecified), AL
Alabama (rural), AL
Alabama, AL
Alabaster, AL
Alacanti (Spain),
Alachua County, FL
Alajuelita (San José) (Costa Rica),
Alameda Naval Air Station/Marine Corp Air Wing Bubble, CA
Alameda, CA
Alamo Lake State Park, AZ
Alamo Lake, AZ
Alamo, CA
Alamo, NV
Alamo, TX
Alamogordo, NM
Alamosa (Madano Pass), CO
Alamosa (West of), CO
Alamosa (east of, on Hwy 160), CO
Alamosa, CO
Aland Islands (Forty miles south of) (Finland),
Alappuzha (India),
Alaska (remote), AK
Alaska Airlines/Sea-Tac to Anchorage (Canada), BC
Alaska,
Alaska, AK
Alba Iulia (Romania),
Albania,
Albany (Canada), PE
Albany (Western Australia),
Albany (about 10 minutes from), OR
Albany (area), NY
Albany (maybe New York), NY
Albany (near), NY
Albany, CA
Albany, GA
Albany, IL
Albany, IN
Albany, ME
Albany, NH
Albany, NY
Albany, OR
Albany, TX
Albemarle, NC
Albert Falls (South Africa),
Albert Falls Dam/Reserve Ntl (South Africa), .
Albert Lea, MN
Alberta (Canada), AB
Alberta (rural) (Canada), AB
Alberta Rocky Mountains (Canada), AB
Alberta/3-34-83-8 w6m (well lease #) (Canada), AB
Alberton, MT
Albertson, NY
Albertville(France),
Albi (France), .
Albia, IA
Albinea (Italy),
Albion (rural), NE
Albion, IL
Albion, IN
Albion, MI
Albion, NY
Albion, PA
Albrightsville, PA
Albufeira (Portugal),
Albuquerque (20 miles east of), NM
Albuquerque (30-60 miles west of city), NM
Albuquerque (Outside of), NM
Albuquerque (near), NM
Albuquerque (over, from Tent Rocks), NM
Albuquerque, NM
Albuquerque/Houston (inflight, halfway b/t), TX
Alburquerqe (near), NM
Alburquerque, NM
Albury (NSW, Australia),
Alcalde, NM
Alcochete (Portugal),
Alden, MN
Alden, NY
Aldergrove (Canada), BC
Aldershot (UK/England),
Aledo, TX
Alentejo (Portugal),
Aleppo (Syria),
Alexander, AR
Alexandria (Egypt),
Alexandria, IN
Alexandria, KY
Alexandria, LA
Alexandria, VA
Alexanria, LA
Alfalfa, OR
Alfred, ME
Alfreton (UK/England),
Algadonis (Mexico) to Tonopah, AZ
Algarve (Portugal),
Algeciras (Spain),
Alger, OH
Alger, WA
Algiers (Algeria), .
Algona, IA
Algona, WA
Algonac, MI
Algonquin Park (Canada), ON
Algonquin Park (Ontario) (Canada), ON
Algonquin, IL
Algood, TN
Alhambra Golf Course, CA
Alhambra, CA
Alicante (Spain),
Alice Springs  (NT, Australia),
Alice, TX
Aliceville/Carrolton/Livingston, AL
Aliso Viejo, CA
Alkmaar (Netherlands),
Allahbad (India), .
Allegan, MI
Allegany (near), NY
Allegany State Park, NY
Allegany, NY
Allegheny State Park, NY
Allen Park, MI
Allen, KY
Allen, MD
Allen, OK
Allen, TX
Allendale, CA
Allendale, KY
Allendale, MI
Allenhurst, GA
Allenspark, CO
Allentown, NJ
Allentown, PA
Allexander Valley, CA
Alliance, NE
Alliance, OH
Alligator Alley, FL
Alligator Point, FL
Allison Park (Hampton Twp.), PA
Allison Park, PA
Allison, TX
Alloa (UK/Scotland),
Allora (Australia),
Alloway, NJ
Alloy, WV
Allston, MA
Allyn, WA
Alma Center, WI
Alma KOA, AR
Alma, AR
Alma, KS
Alma, MI
Alma, NM
Alma, WI
Almelo (Netherlands),
Almena, WI
Almere (Netherlands),
Almere (Netherlands), FL
Almeria (Spain),
Almond, WI
Almont, MI
Almudevar (Spain),
Aloha, OR
Alor Islands (Indonesia),
Alpena, MI
Alpha, NJ
Alpharetta, GA
Alpheretta, GA
Alpine, AZ
Alpine, CA
Alpine, TX
Alpine, UT
Alsea, OR
Alsip, IL
Alstead, NH
Alston, MI
Alta Loma, CA
Alta, UT
Altadena, CA
Altamonte Springs, FL
Altivista, VA
Altmar, NY
Alto, GA
Alto, MI
Alto, TX
Alton (Hampshire) (UK/England),
Alton (Kendall Hill Subdivision), IL
Alton Bay, NH
Alton, Hampshire (UK/England),
Alton, IL
Alton, ME
Alton, MO
Alton, NH
Alton, VA
Altona Meadows (Australia), .
Altoona, IA
Altoona, PA
Altrincham (UK/England),
Alturas (SE of), FL
Alturas, CA
Altus (sw of), OK
Altus AFB, OK
Altus, OK
Alum Creek, WV
Alva, OK
Alvarado, TX
Alvaton, GA
Alvin, TX
Alvord (Dry Lake area), OR
Amado, AZ
Amagansett, NY
Amanzimtoti (South Africa),
Amargosa Valley, NV
Amarillo (Hwy. 140), TX
Amarillo (local area and SE), TX
Amarillo (south of), TX
Amarillo, TX
Amazon (Brazil),
Ambala (India), .
Amboy, CA
Amboy, WA
Ambridge, PA
Ambrose, GA
Amelia, OH
Amenia, ND
America West flt 2620 (Phoenix-Oakland, NV-CA), CA
American Canyon, CA
American Falls, ID
American Falls, IL
American Fork, UT
Americus, GA
Americus, IN
Amersfoort (Netherlands),
Amery, WI
Ames, IA
Amesbury (past), MA
Amesbury area, MA
Amesbury, MA
Amhearst, OH
Amherst (Canada), NS
Amherst, MA
Amherst, NY
Amherst, VA
Amherstburg (Canada), ON
Amherstview (outside Kingston) (Canada), ON
Amite, LA
Amity, OR
Amityville, NY
Amman (Jordan),
Amman/Wadi Ram (desert) (Jordan),
Ammanford (UK/Wales),
Ammon, ID
Amory, MS
Ampoita-ALBA (Romania),
Amstelveen (Netherlands),
Amsterdam (Netherlands),
Amsterdam (The Netherlands),
Amsterdam (west of), NY
Amsterdam, MO
Amsterdam, NY
Anacoco, LA
Anaconda, MT
Anacortes, WA
Anaeta, KY
Anaheim Hills, CA
Anaheim Hll, CA
Anaheim, CA
Anahola, HI
Anahuac, TX
Anamosa, IA
Anamosa/Cedar Rapids (between), IA
Anasco (Puerto Rico),
Ancaster (Canada), ON
Anchor Point, AK
Anchorage, AK
Anchorage/Girdwood, AK
Anchorville, MI
Anderslov (Sweden),
Anderson, CA
Anderson, IN
Anderson, MO
Anderson, SC
Anderson/Redding, CA
Andes, NY
Andover (UK/England),
Andover, Hants (UK/England),
Andover, KS
Andover, MA
Andover, MN
Andover, NY
Andrade, CA
Andrews AFB, MD
Andrews, NC
Andrews, SC
Andrews, TX
Andros Island (Bahamas),
Anegada (The Settlement) (British Virgin Islands),
Anehiem, CA
Aneta (by/near), ND
Angeir, NC
Angel Fire, NM
Angeles City (Philippines),
Angeles Crest Hwy, CA
Angeles Crest, CA
Angeles National Forrest Area, CA
Angelica, NY
Angels Camp, CA
Angels Camp/Lake New Melones, CA
Angelus Oaks, CA
Angier, NC
Anglemont (Canada), BC
Angleton & Pearland (between), TX
Angleton (5 miles north), TX
Angleton, TX
Angola, IN
