fips	state	City Name                                      	Type	CBSA Parent
f00100	22   	Abbeville, LA                              	Cit  	10020
f00100	46   	Aberdeen, SD                               	Cit  	10100
f00100	53   	Aberdeen, WA                               	Cit  	10140
f01000	48   	Abilene, TX                                	Cit  	10180
f00200	40   	Ada, OK                                    	Cit  	10220
f00358	72   	Adjuntas, PR                               	Cit  	10260
f00440	26   	Adrian, MI                                 	Cit  	10300
f00745	72   	Aguadilla, PR                              	Cit  	10380
f36478	72   	Isabela, PR                                	Cit  	10380
f77500	72   	San Sebastián, PR                          	Cit  	10380
f01000	39   	Akron, OH                                  	Cit  	10420
f01780	35   	Alamogordo, NM                             	Cit  	10460
f01052	13   	Albany, GA                                 	Cit  	10500
f01000	41   	Albany, OR                                 	Cit  	10540
f41650	41   	Lebanon, OR                                	Cit  	10540
f01000	36   	Albany, NY                                 	Cit  	10580
f65508	36   	Schenectady, NY                            	Cit  	10580
f75484	36   	Troy, NY                                   	Cit  	10580
f00680	37   	Albemarle, NC                              	Cit  	10620
f00694	27   	Albert Lea, MN                             	Cit  	10660
f00988	01   	Albertville, AL                            	Cit  	10700
f02000	35   	Albuquerque, NM                            	Cit  	10740
f01132	01   	Alexander City, AL                         	Cit  	10760
f00975	22   	Alexandria, LA                             	Cit  	10780
f00928	27   	Alexandria, MN                             	Cit  	10820
f01852	48   	Alice, TX                                  	Cit  	10860
f38640	26   	Holland, MI (part)                         	Cit  	10880
f02000	42   	Allentown, PA                              	Cit  	10900
f06088	42   	Bethlehem, PA                              	Cit  	10900
f01540	26   	Alma, MI                                   	Cit  	10940
f01740	26   	Alpena, MI                                 	Cit  	10980
f02184	42   	Altoona, PA                                	Cit  	11020
f01700	40   	Altus, OK                                  	Cit  	11060
f03000	48   	Amarillo, TX                               	Cit  	11100
f02116	13   	Americus, GA                               	Cit  	11140
f01855	19   	Ames, IA                                   	Cit  	11180
f02066	36   	Amsterdam, NY                              	Cit  	11220
f03000	02   	Anchorage, AK                              	Cit  	11260
f01468	18   	Anderson, IN                               	Cit  	11300
f01360	45   	Anderson, SC                               	Cit  	11340
f03216	48   	Andrews, TX                                	Cit  	11380
f01666	18   	Angola, IN                                 	Cit  	11420
f03000	26   	Ann Arbor, MI                              	Cit  	11460
f01852	01   	Anniston, AL                               	Cit  	11500
f57576	01   	Oxford, AL                                 	Cit  	11500
f02375	55   	Appleton, WI                               	Cit  	11540
f01750	12   	Arcadia, FL                                	Cit  	11580
f02600	40   	Ardmore, OK                                	Cit  	11620
f01870	05   	Arkadelphia, AR                            	Cit  	11660
f02140	37   	Asheville, NC                              	Cit  	11700
f02568	39   	Ashland, OH                                	Cit  	11740
f02638	39   	Ashtabula, OH                              	Cit  	11780
f03150	41   	Astoria, OR                                	Cit  	11820
f02900	20   	Atchison, KS                               	Cit  	11860
f02736	39   	Athens, OH                                 	Cit  	11900
f02320	47   	Athens, TN                                 	Cit  	11940
f04504	48   	Athens, TX                                 	Cit  	11980
f03440	13   	Athens-Clarke County (balance), GA         	Cit  	12020
f04000	13   	Atlanta, GA                                	Cit  	12060
f68516	13   	Sandy Springs, GA                          	Cit  	12060
f49756	13   	Marietta, GA                               	Cit  	12060
f02080	34   	Atlantic City, NJ                          	Cit  	12100
f29430	34   	Hammonton, NJ                              	Cit  	12100
f02674	18   	Auburn, IN                                 	Cit  	12140
f03078	36   	Auburn, NY                                 	Cit  	12180
