Primary Census Statistical Area                                	2011 Estimate	2010 Census	Type	Rank	Change	Core Based Statistical Areas
Aberdeen, SD                                               	        40878	      40602	µSA	 535	+0.68%
Aberdeen, WA                                               	        72546	      72797	µSA	 383	-0.34%
Abilene, TX                                                	       166416	     165252	MSA	 220	+0.70%
Ada, OK                                                    	        37799	      37492	µSA	 562	+0.82%
Adrian, MI                                                 	        99440	      99892	µSA	 321	-0.45%
Alamogordo, NM                                             	        65703	      63797	µSA	 405	+2.99%
Albany, GA                                                 	       157688	     157308	MSA	 232	+0.24%
Albany-Corvallis-Lebanon, OR                               	       204050	     202251	CSA	 188	+0.89%	Albany-Lebanon, OR µSA | Corvallis, OR MSA
Albany-Schenectady-Amsterdam, NY                           	      1168120	    1168485	CSA	  50	-0.03%	Albany-Schenectady-Troy, NY MSA | Glens Falls, NY MSA | Hudson, NY µSA | Gloversville, NY µSA | Amsterdam, NY µSA
Albert Lea, MN                                             	        31172	      31255	µSA	 622	-0.27%
Albertville, AL                                            	        94166	      93019	µSA	 332	+1.23%
Albuquerque, NM                                            	       898642	     887077	MSA	  59	+1.30%
Alexandria, LA                                             	       154505	     153922	MSA	 238	+0.38%
Alexandria, MN                                             	        36172	      36009	µSA	 583	+0.45%
Alice, TX                                                  	        41339	      40838	µSA	 531	+1.23%
Allentown-Bethlehem-Easton, PA-NJ                          	       824916	     821173	MSA	  64	+0.46%
Alma, MI                                                   	        42145	      42476	µSA	 524	-0.78%
Alpena, MI                                                 	        29386	      29598	µSA	 630	-0.72%
Altoona, PA                                                	       127099	     127089	MSA	 281	+0.01%
Altus, OK                                                  	        26447	      26446	µSA	 651	+0.00%
Amarillo, TX                                               	       253823	     249881	MSA	 163	+1.58%
Americus, GA                                               	        37531	      37829	µSA	 568	-0.79%
Ames-Boone, IA                                             	       115918	     115848	CSA	 295	+0.06%	Ames, IA MSA | Boone, IA µSA
Anchorage, AK                                              	       387516	     380821	MSA	 125	+1.76%
Andrews, TX                                                	        15445	      14786	µSA	 711	+4.46%
Anniston-Oxford, AL                                        	       117797	     118572	MSA	 292	-0.65%
Appleton-Oshkosh-Neenah, WI                                	       395102	     392660	CSA	 122	+0.62%	Appleton, WI MSA | Oshkosh-Neenah, WI MSA
Arcadia, FL                                                	        34894	      34862	µSA	 590	+0.09%
Ardmore, OK                                                	        57482	      56980	µSA	 436	+0.88%
Arkadelphia, AR                                            	        22858	      22995	µSA	 679	-0.60%
Asheville-Brevard, NC                                      	       461837	     457948	CSA	 106	+0.85%	Asheville, NC MSA | Brevard, NC µSA
Ashland, OH                                                	        53153	      53139	µSA	 457	+0.03%
Astoria, OR                                                	        37153	      37039	µSA	 570	+0.31%
Athens, OH                                                 	        64769	      64757	µSA	 410	+0.02%
Athens-Clarke County, GA                                   	       193317	     192541	MSA	 195	+0.40%
Atlanta-Sandy Springs-Gainesville, GA-AL                   	      5712148	    5618431	CSA	  10	+1.67%	Atlanta-Sandy Springs-Marietta, GA MSA | Gainesville, GA MSA | LaGrange, GA µSA | Cedartown, GA µSA | Valley, AL µSA | Thomaston, GA µSA
Atlantic City-Hammonton, NJ                                	       274338	     274549	MSA	 152	-0.08%
Augusta-Richmond County, GA-SC                             	       561858	     556877	MSA	  92	+0.89%
Augusta-Waterville, ME                                     	       121935	     122151	µSA	 289	-0.18%
Austin, MN                                                 	        39349	      39163	µSA	 545	+0.47%
Austin-Round Rock-Marble Falls, TX                         	      1826636	    1759039	CSA	  32	+3.84%	Austin-Round Rock-San Marcos, TX MSA | Marble Falls, TX µSA
Bainbridge, GA                                             	        27694	      27842	µSA	 647	-0.53%
Bakersfield-Delano, CA                                     	       851710	     839631	MSA	  62	+1.44%
Bangor, ME                                                 	       153786	     153923	MSA	 240	-0.09%
Barnstable Town, MA                                        	       215769	     215888	MSA	 178	-0.06%
Barre, VT                                                  	        59626	      59534	µSA	 426	+0.15%
Batesville, AR                                             	        36861	      36647	µSA	 578	+0.58%
Baton Rouge-Pierre Part, LA                                	       831395	     825905	CSA	  63	+0.66%	Baton Rouge, LA MSA | Pierre Part, LA µSA
Battle Creek, MI                                           	       135490	     136146	MSA	 264	-0.48%
Beatrice, NE                                               	        22031	      22311	µSA	 687	-1.25%
Beaumont-Port Arthur, TX                                   	       390535	     388745	MSA	 124	+0.46%
Beckley-Oak Hill, WV                                       	       124826	     124898	CSA	 285	-0.06%	Beckley, WV µSA | Oak Hill, WV µSA
Bedford, IN                                                	        46195	      46134	µSA	 494	+0.13%
Beeville, TX                                               	        32095	      31861	µSA	 613	+0.73%
Bellefontaine, OH                                          	        45688	      45858	µSA	 499	-0.37%
Bellingham, WA                                             	       203663	     201140	MSA	 190	+1.25%
Bemidji, MN                                                	        45264	      44442	µSA	 505	+1.85%
Bend-Prineville, OR                                        	       181177	     178711	CSA	 203	+1.38%	Bend, OR MSA | Prineville, OR µSA
Bennettsville, SC                                          	        28509	      28933	µSA	 640	-1.47%
Bennington, VT                                             	        36970	      37125	µSA	 574	-0.42%
Berlin, NH-VT                                              	        38979	      39361	µSA	 550	-0.97%
Big Rapids, MI                                             	        43300	      42798	µSA	 514	+1.17%
Big Spring, TX                                             	        35122	      35012	µSA	 588	+0.31%
Billings, MT                                               	       160097	     158050	MSA	 228	+1.30%
Binghamton, NY                                             	       250074	     251725	MSA	 164	-0.66%
Birmingham-Hoover-Cullman, AL                              	      1212800	    1208453	CSA	  49	+0.36%	Birmingham-Hoover, AL MSA | Cullman, AL µSA
Bishop, CA                                                 	        18478	      18546	µSA	 703	-0.37%
Bismarck, ND                                               	       110879	     108779	MSA	 304	+1.93%
Blacksburg-Christiansburg-Radford, VA                      	       162487	     162958	MSA	 225	-0.29%
Bloomington, IN                                            	       194193	     192714	MSA	 194	+0.77%
Bloomington-Normal, IL                                     	       170556	     169572	MSA	 215	+0.58%
Bloomsburg-Berwick, PA                                     	        85772	      85562	µSA	 350	+0.25%
Bluefield, WV-VA                                           	       107180	     107342	µSA	 312	-0.15%
Blytheville, AR                                            	        45966	      46480	µSA	 496	-1.11%
Boise City-Nampa, ID                                       	       627664	     616561	MSA	  82	+1.80%
Boone, NC                                                  	        51333	      51079	µSA	 466	+0.50%
Borger, TX                                                 	        22132	      22150	µSA	 686	-0.08%
Boston-Worcester-Manchester, MA-RI-NH                      	      7601061	    7559060	CSA	   5	+0.56%	Boston-Cambridge-Quincy, MA-NH MSA | Providence-New Bedford-Fall River, RI-MA MSA | Worcester, MA MSA | Manchester-Nashua, NH MSA | Concord, NH µSA | Laconia, NH µSA
Bowling Green, KY                                          	       127607	     125953	MSA	 278	+1.31%
Bozeman, MT                                                	        91377	      89513	µSA	 337	+2.08%
Bradford, PA                                               	        43222	      43450	µSA	 516	-0.52%
Brainerd, MN                                               	        91153	      91067	µSA	 340	+0.09%
Branson, MO                                                	        84999	      83877	µSA	 351	+1.34%
Brenham, TX                                                	        33791	      33718	µSA	 598	+0.22%
Brookhaven, MS                                             	        34889	      34869	µSA	 591	+0.06%
Brookings, OR                                              	        22426	      22364	µSA	 684	+0.28%
Brookings, SD                                              	        32226	      31965	µSA	 611	+0.82%
Brownsville, TN                                            	        18470	      18787	µSA	 704	-1.69%
Brownsville-Harlingen-Raymondville, TX                     	       436218	     428354	CSA	 112	+1.84%	Brownsville-Harlingen, TX MSA | Raymondville, TX µSA
Brownwood, TX                                              	        38186	      38106	µSA	 560	+0.21%
Brunswick, GA                                              	       112923	     112370	MSA	 300	+0.49%
Buffalo-Niagara-Cattaraugus, NY                            	      1213871	    1215826	CSA	  48	-0.16%	Buffalo-Niagara Falls, NY MSA | Olean, NY µSA
Burley, ID                                                 	        43341	      43021	µSA	 512	+0.74%
Burlington, IA-IL                                          	        47365	      47656	µSA	 486	-0.61%
Burlington-South Burlington, VT                            	       212535	     211261	MSA	 180	+0.60%
Butte-Silver Bow, MT                                       	        34383	      34200	µSA	 594	+0.54%
Cadillac, MI                                               	        47629	      47584	µSA	 485	+0.09%
Calhoun, GA                                                	        55621	      55186	µSA	 440	+0.79%
Cambridge, MD                                              	        32640	      32618	µSA	 604	+0.07%
Cambridge, OH                                              	        39927	      40087	µSA	 541	-0.40%
Camden, AR                                                 	        31024	      31488	µSA	 623	-1.47%
Campbellsville, KY                                         	        24731	      24512	µSA	 667	+0.89%
Canton-Massillon, OH                                       	       403869	     404422	MSA	 121	-0.14%
Cape Coral-Fort Myers, FL                                  	       631330	     618754	MSA	  81	+2.03%
Cape Girardeau-Sikeston-Jackson, MO-IL                     	       136160	     135466	CSA	 263	+0.51%	Cape Girardeau-Jackson, MO-IL MSA | Sikeston, MO µSA
Carbondale-Marion-Herrin, IL                               	       126987	     126575	CSA	 282	+0.33%	Marion-Herrin, IL µSA | Carbondale, IL µSA
Carlsbad-Artesia, NM                                       	        54152	      53829	µSA	 449	+0.60%
Carson City, NV                                            	        55439	      55274	MSA	 441	+0.30%
Casper, WY                                                 	        76366	      75450	MSA	 372	+1.21%
Cañon City, CO                                             	        47347	      46824	µSA	 487	+1.12%
Cedar City, UT                                             	        46740	      46163	µSA	 491	+1.25%
Cedar Rapids, IA                                           	       260575	     257940	MSA	 159	+1.02%
Celina, OH                                                 	        40838	      40814	µSA	 536	+0.06%
Central City, KY                                           	        31272	      31499	µSA	 621	-0.72%
Centralia, IL                                              	        39335	      39437	µSA	 546	-0.26%
Centralia, WA                                              	        75901	      75455	µSA	 374	+0.59%
Chambersburg, PA                                           	       150811	     149618	µSA	 245	+0.80%
Champaign-Urbana, IL                                       	       232336	     231891	MSA	 173	+0.19%
Charleston, WV                                             	       303674	     304284	MSA	 143	-0.20%
Charleston-Mattoon, IL                                     	        65012	      64921	µSA	 409	+0.14%
Charleston-North Charleston-Summerville, SC                	       682121	     664607	MSA	  75	+2.64%
