’'[](){}⟨⟩:,،、—―…,...,...!.«»‐-?‘’,“”,'',"";/⁄·&*@\•^†,‡°〃¡¿#№÷º,ª%,‰‱¶′,″,‴§~_¦|©®℠℗™¤⁂☞‽؟◊※⁀
’'[](){}⟨⟩:,،、—―…,...,...!.«»‐-?‘’,“”,'',"";/⁄·&*@\•^†,‡°〃¡¿#№÷º,ª%,‰‱¶′,″,‴§~_¦|©®℠℗™¤⁂☞‽؟◊※⁀
’'[](){}⟨⟩:,،、—―…,…,…!.«»‐-?‘’,“”,'',"";/⁄·&*@\•^†,‡°〃¡¿#№÷º,ª%,‰‱¶′,″,‴§~_¦|©®℠℗™¤⁂☞‽؟◊※⁀


Punctuation
apostrophe:                  	’ '
brackets:                    	[ ] ( ) { } ⟨ ⟩
colon:                       	:
comma:                       	, ، 、
dash:                        	‒ – — ―
ellipsis:                    	…, ..., . . .
exclamation_mark:            	!
period:                     	.
guillemets:                  	« »
hyphen:                      	‐
hyphen-minus:                	-
question: mark               	?
quotation: marks             	‘ ’, “ ”, ' ', " "
semicolon:                   	;
slash:                      	/ 
solidus:                	⁄ 
interpunct:                  	·
ampersand:                   	&
asterisk:                    	*
at: sign                     	@
backslash:                   	\
bullet:                      	•
caret:                       	^
dagger:                      	†, ‡
degree:                      	°
ditto_mark                  	〃
inverted_exclamation_mark   	¡
inverted_question_mark      	¿
number: sign/pound/hash      	#
numero: sign                 	№
obelus:                      	÷
ordinal: indicator           	º, ª
percent,: per mil            	%, ‰
basis: point                 	‱
pilcrow:                     	¶
prime:                       	′, ″, ‴
section: sign                	§
tilde:                       	~
underscore/understrike:      	_
vertical_bar
vertical_broken_bar     	¦
vertical_pipe:	         	|
copyright_symbol:            	©
registered_trademark        	®
service_mark:                	℠
sound_recording_copyright:   	℗
trademark:                   	™
Currency
currency: (generic)          	¤
Uncommon: typography
asterism:                    	⁂
index/fist:                  	☞
interrobang:                 	‽
irony: punctuation           	؟
lozenge:                     	◊
reference: mark              	※
tie:                         	⁀
currency:                 	"\u20b3 \u0e3f \u20b5 \u00a2 \u20a1 \u20a2 \u20a0 $ \u20ab \u09f3 \u20af \u20ac \u20a3 \u20b2 \u20b4 \u20ad \u2133 \u20a5 \u20a6 \u20a7 \u20b1 \u20b0 \u00a3 \u20b9 \u20a8 \u20aa \u20ae \u20a9 \u00a5 \u17db"
