ADP	020	Andorran Peseta	2002-03
ADF		Andorran Franc	unknown
AFA	004	Afghani	unknown
ALK		Albanian Old Lek	1989-12
AOK		Angolan New Kwanza	1991-03
AON	024	Angola New Kwanza	2000-02
AOR	982	Angola Kwanza Reajustado	2000-02
ARA		Argentine Austral	1992-01
ARM		Argentine peso moneda nacional	unknown
ARL		Argentine peso ley	unknown
ARP		Peso Argentino	1985-07
ATS	040	Austrian Schilling	2002-03
AZM	031	Azerbaijanian Manat	unknown
BAD	070	Bosnia and Herzegovina Dinar	1997-07
BEC	993	Belgian Franc Convertible	1990-03
BEF	056	Belgian Franc	2002-03
BEL	992	Belgian Franc Financial	1990-03
BGJ		Bulgarian Lev A/52	1990
BGK		Bulgarian Lev A/62	1990
BGL	100	Bulgarian Lev A/99	unknown
BOP		Bolivian Peso	1987-02
BRB		Brazilian Cruzeiro	1986-03
BRC		Brazilian Cruzado	1989-02
BRE	076	Brazilian Cruzeiro	1993-03
BRN		Brazilian New Cruzado	1990-03
BRR	987	Brazilian Cruzeiro Real	1994-07
BUK		Kyat	1990-02
BYB		Belarussian Rouble	1999
CNX		Chinese Peoples Bank Dollar	1989-12
CSD	891	Serbian Dinar	unknown
CSJ		Czechoslovak Krona A/53	1990
CSK	200	Czechoslovak Koruna	1993-03
DDM	278	East German Mark of the GDR	1990-09
DEM	276	Deutsche Mark	2002-03
ECS	218	Ecuador Sucre	2000-09-15
ECV	983	Ecuador Unidad de Valor Constante UVC	unknown
ESA	996	Spanish Peseta ('A' Account)	1981
ESB	995	Spanish Peseta (convertible)	1994-12
ESP	724	Spanish Peseta	2002-03
FIM	246	Finnish Markka	2002-03
FRF	250	French Franc	2002-03
GEK	268	Georgian Coupon	1995-10
GNE		Guinea Syli	1989-12
GNS		Guinea Syli	1986-02
GQE	226	Equatorial Guinea Ekwele	1989-12
GHC	288	Cedi	unknown
GRD	300	Greek Drachma	2002-03
GWE		Guinea Escudo	1981
GWP	624	Guinea-Bissau Peso	1997-04
HRD		Croatian Dinar	1995-01
IEP	372	Irish Pound	2002-03
ILP		Israeli Pound	1981
ILR		Israeli Old Shekel	1990
ISJ		Iceland Old Krona	1990
ITL	380	Italian Lira	2002-03
LAJ		Lao kip	1989-12
LSM		Lesotho Maloti	1985-05
LTT		Lithuanian Talonas	1993-07
LUC	989	Luxembourg Convertible Franc	1990-03
LUF	442	Luxembourg Franc	2002-03
LUL	988	Luxembourg Financial Franc	1990-03
LVR		Latvian Ruble	1994-12
MAF		Mali Franc	1989-12
MGF	450	Malagasy Franc	unknown
MLF	446	Mali Franc	1984-11
MTP		Maltese Pound	1983-06
MVQ		Maldive Rupee	1989-12
MXP		Mexican Peso	1993-01
MZE		Mozambique Escudo	1981
MZM	508	Mozambique Metical	unknown
NIC		Nicaraguan Cordoba	1990-10
NLG	528	Netherlands Guilder	2002-03
PEH		Peruvian Sol	1990
PEI		Peruvian Inti	1991-07
PES		Peruvian Sol	1986-02
PLZ	616	Polish Złoty	1997-01
PTE	620	Portuguese Escudo	2002-03
RHD		Rhodesian Dollar	1981
ROK		Romanian Leu A/52	1990
ROL	642	Romanian Old Leu	2005-06
RUR	810	Russian Rouble	1997
SDD	736	Sudanese Pound	unknown
SDP		Sudanese Pound	1998-06
SIT	705	Slovenian Tolar	2006-12-31
SKK	703	Slovak Koruna	2009-01-01
SRG	740	Suriname Guilder	unknown
SUR		USSR Rouble	1990-12
TJR	762	Tajik Rouble	2000
TLE	626	Timor Escudo	unknown
TRL	792	Turkish Lira	unknown
UAK	804	Ukrainian Karbovanet	1996-09
UGS		Uganda Schilling	1987-05
UGW		Uganda Old Schilling	1990
UYN		Old Uruguayan Peso	1989-12
UYP		Uruguayan Peso	1993-03
VEB	862	Venezuela Bolívar	2008-01-01
VNC		Viet Nam Old Dong	1990
XEU	954	European Currency Unit ECU	1999-01
XRE		RINET Funds Code	1999-11
YDD	720	Yemeni Dinar	1991-09
YUD	891	Yugoslavian Dinar	unknown
YUN	890	Yugoslavian Dinar	1995-11
ZAL	991	South African Financial Rand	1995-03
ZRN		New Zaire	1999-06
ZRZ	180	Zaire	1994-02
