BOS07	Fenway Park	Boston, MA	04/20/1912		8013	42.35	-71.10	16
CHI11	Wrigley Field	Chicago, IL	04/23/1914		7871	41.95	-87.66	599
STL07	Sportsman's Park III	St. Louis, MO	04/14/1909	05/08/1966	7022	38.66	-90.22	492
DET04	Tiger Stadium	Detroit, MI	04/20/1912	09/27/1999	6879	42.33	-83.07	601
NYC16	Yankee Stadium I	New York, NY	04/18/1923	09/21/2008	6581	40.83	-73.93	18
CHI10	Comiskey Park I	Chicago, IL	07/01/1910	09/30/1990	6247	41.83	-87.63	594
PHI11	Shibe Park	Philadelphia, PA	04/12/1909	10/01/1970	6055	40.00	-75.16	116
PIT06	Forbes Field	Pittsburgh, PA	06/30/1909	06/28/1970	4760	40.44	-79.95	893
CIN07	Crosley Field	Cincinnati, OH	04/11/1912	06/24/1970	4544	39.12	-84.54	488
NYC14	Polo Grounds V	New York, NY	06/28/1911	09/18/1963	4490	40.83	-73.94	13
LOS03	Dodger Stadium	Los Angeles, CA	04/10/1962		4471	34.07	-118.24	501
CLE07	Cleveland Stadium	Cleveland, OH	07/31/1932	10/03/1993	4196	41.51	-81.70	593
WAS09	Griffith Stadium	Washington, DC	04/12/1911	09/21/1961	3945	38.92	-77.02	100
ANA01	Angel Stadium of Anaheim	Anaheim, CA	04/19/1966		3836	33.80	-117.88	154
NYC17	Shea Stadium	New York, NY	04/17/1964	09/28/2008	3737	40.76	-73.85	13
OAK01	Oakland-Alameda County Coliseum	Oakland, CA	04/17/1968		3654	37.75	-122.20	0
MIL05	County Stadium	Milwaukee, WI	04/14/1953	09/28/2000	3484	43.03	-87.97	606
NYC15	Ebbets Field	Brooklyn, NY	04/09/1913	09/24/1957	3447	40.66	-73.96	84
KAN06	Kauffman Stadium	Kansas City, MO	04/10/1973		3251	39.05	-94.48	886
PHI09	Baker Bowl	Philadelphia, PA	05/02/1895	06/30/1938	3218	39.99	-75.16	98
STL09	Busch Stadium II	St. Louis, MO	05/12/1966	10/02/2005	3174	38.62	-90.19	460
SFO02	Candlestick Park	San Francisco, CA	04/12/1960	09/30/1999	3173	37.71	-122.39	135
BAL11	Memorial Stadium	Baltimore, MD	04/15/1954	10/06/1991	3006	39.33	-76.60	231
BOS08	Braves Field	Boston, MA	08/18/1915	09/21/1952	2871	42.35	-71.12	26
HOU02	Astrodome	Houston, TX	04/12/1965	10/03/1999	2774	29.68	-95.41	52
SAN01	Jack Murphy Stadium	San Diego, CA	04/08/1969	09/28/2003	2768	32.78	-117.12	83
PHI12	Veterans Stadium	Philadelphia, PA	04/10/1971	09/28/2003	2617	39.91	-75.17	18
CIN08	Riverfront Stadium	Cincinnati, OH	06/30/1970	09/22/2002	2576	39.10	-84.51	489
ATL01	Atlanta-Fulton County Stadium	Atlanta, GA	04/12/1966	09/23/1996	2435	33.74	-84.39	979
PIT07	Three Rivers Stadium	Pittsburgh, PA	07/16/1970	10/01/2000	2407	40.45	-80.01	730
CLE06	League Park IV	Cleveland, OH	04/21/1910	09/21/1946	2376	41.51	-81.64	644
MIN03	Hubert H. Humphrey Metrodome	Minneapolis, MN	04/06/1982	10/06/2009	2242	44.97	-93.26	854
MON02	Stade Olympique	Montreal, QUE	04/15/1977	09/29/2004	2145	45.56	-73.55	89
STL05	Robison Field	St. Louis, MO	04/27/1893	06/06/1920	2021	38.66	-90.22	500
TOR02	Rogers Centre	Toronto, ONT	06/05/1989		1965	43.64	-79.39	268
CHI12	U.S. Cellular Field	Chicago, IL	04/18/1991		1831	41.83	-87.63	594
SEA02	Kingdome	Seattle, WA	04/06/1977	06/27/1999	1755	47.60	-122.33	17
ARL01	Arlington Stadium	Arlington, TX	04/21/1972	10/03/1993	1750	32.76	-97.08	552
BAL12	Oriole Park at Camden Yards	Baltimore, MD	04/06/1992		1746	39.28	-76.62	35
CHI08	West Side Grounds	Chicago, IL	05/14/1893	10/03/1915	1739	41.87	-87.67	593
MIN02	Metropolitan Stadium	Bloomington, MN	04/21/1961	09/30/1981	1674	44.85	-93.24	821
ARL02	Globe Life Park	Arlington, TX	04/11/1994		1595	32.75	-97.08	549
CLE08	Progressive Field	Cleveland, OH	04/04/1994		1575	41.50	-81.69	673
PIT05	Exposition Park III	Pittsburgh, PA	04/19/1890	10/02/1915	1572	40.45	-80.01	729
NYC10	Polo Grounds IV	New York, NY	04/19/1890	04/13/1911	1545	40.83	-73.94	13
DEN02	Coors Field	Denver, CO	04/26/1995		1531	39.76	-104.99	5197
MIA01	Pro Player Stadium	Miami, FL	04/05/1993	09/28/2011	1496	25.96	-80.24	5
BOS05	South End Grounds III	Boston, MA	07/20/1894	08/11/1914	1489	42.34	-71.09	11
ATL02	Turner Field	Atlanta, GA	04/04/1997		1377	33.74	-84.39	939
KAN05	Municipal Stadium	Kansas City, MO	04/12/1955	10/04/1972	1348	39.09	-94.56	916
PHO01	Chase Field	Phoenix, AZ	03/31/1998		1296	33.45	-112.07	1059
STP01	Tropicana Field	St. Petersburg, FL	03/31/1998		1286	27.77	-82.65	41
CLE05	League Park III	Cleveland, OH	05/01/1891	09/06/1909	1220	41.51	-81.64	644
SEA03	Safeco Field	Seattle, WA	07/15/1999		1181	47.59	-122.33	17
SFO03	AT&T Park	San Francisco, CA	04/11/2000		1135	37.78	-122.39	8
DET05	Comerica Park	Detroit, MI	04/11/2000		1133	42.34	-83.05	602
HOU03	Minute Maid Park	Houston, TX	04/07/2000		1131	29.76	-95.36	20
NYC12	Washington Park III	Brooklyn, NY	04/30/1898	10/05/1912	1125	40.68	-73.99	26
MIL06	Miller Park	Milwaukee, WI	04/06/2001		1058	43.03	-87.97	602
PIT08	PNC Park	Pittsburgh, PA	04/09/2001		1051	40.45	-80.01	724
WAS10	Robert F. Kennedy Stadium	Washington, DC	04/09/1962	09/23/2007	1047	38.89	-76.97	24
TOR01	Exhibition Stadium	Toronto, ONT	04/07/1977	05/28/1989	968	43.63	-79.42	273
CIN09	Great American Ballpark	Cincinnati, OH	03/31/2003		892	39.10	-84.51	489
BOS06	Huntington Avenue Baseball Grounds	Boston, MA	05/08/1901	10/07/1911	831	42.34	-71.09	8
PHI13	Citizens Bank Park	Philadelphia, PA	04/12/2004		813	39.91	-75.17	19
SAN02	Petco Park	San Diego, CA	04/08/2004		810	32.71	-117.16	14
DET02	Bennett Park	Detroit, MI	04/25/1901	09/10/1911	796	42.33	-83.07	601
CIN06	Palace of the Fans	Cincinnati, OH	04/17/1902	10/12/1911	779	39.12	-84.54	489
NYC13	Hilltop Park	New York, NY	04/30/1903	10/05/1912	776	40.84	-73.94	164
PHI01	Jefferson Street Grounds	Philadelphia, PA	06/03/1871	10/11/1890	746	39.98	-75.18	104
CHI09	South Side Park III	Chicago, IL	04/24/1901	06/27/1910	718	41.82	-87.63	594
STL03	Sportsman's Park I	St. Louis, MO	05/02/1882	10/13/1892	717	38.66	-90.22	492
CIN04	League Park I	Cincinnati, OH	05/01/1884	09/29/1893	698	39.12	-84.54	488
BOS01	South End Grounds I	Boston, MA	05/16/1871	09/10/1887	685	42.34	-71.09	11
LOU02	Eclipse Park I	Louisville, KY	05/05/1882	05/04/1893	676	38.25	-85.80	452
STL10	Busch Stadium III	St. Louis, MO	04/10/2006		647	38.62	-90.19	438
MON01	Parc Jarry	Montreal, QUE	04/14/1969	09/26/1976	641	45.53	-73.63	190
WAS06	Boundary Field	Washington, DC	04/13/1891	10/14/1899	617	38.92	-77.02	100
BAL07	Oriole Park III	Baltimore, MD	05/11/1891	10/10/1899	616	39.32	-76.61	153
PHI10	Columbia Park	Philadelphia, PA	04/26/1901	10/03/1908	599	39.98	-75.18	98
CIN05	League Park II	Cincinnati, OH	04/20/1894	10/06/1901	577	39.12	-84.54	489
NYC11	Eastern Park	Brooklyn, NY	04/28/1890	10/02/1897	554	40.67	-73.90	40
WAS08	American League Park II	Washington, DC	04/14/1904	10/06/1910	537	38.92	-77.02	100
PHI06	Huntingdon Grounds I	Philadelphia, PA	04/30/1887	08/04/1894	531	39.99	-75.16	98
STL06	Sportsman's Park II	St. Louis, MO	04/23/1902	10/06/1908	530	38.66	-90.22	492
WAS11	Nationals Park	Washington, DC	03/30/2008		484	38.87	-77.01	23
NYC03	Polo Grounds I (Southeast Diamond)	New York, NY	05/01/1883	10/13/1888	472	40.80	-73.95	20
LOU03	Eclipse Park II	Louisville, KY	05/22/1893	08/02/1899	447	38.25	-85.80	452
DET01	Recreation Park	Detroit, MI	05/02/1881	09/23/1890	439	42.35	-83.06	625
CHI06	West Side Park	Chicago, IL	06/06/1885	10/02/1891	429	41.87	-87.66	588
PIT04	Recreation Park	Pittsburgh, PA	05/01/1884	09/30/1890	429	40.45	-80.03	765
BOS03	South End Grounds II	Boston, MA	05/25/1888	05/14/1894	420	42.34	-71.09	11
NYC21	Yankee Stadium II	New York, NY	04/16/2009		405	40.83	-73.93	11
NYC20	Citi Field	New York, NY	04/13/2009		405	40.76	-73.85	13
PRO02	Messer Street Grounds	Providence, RI	05/01/1878	09/09/1885	358	41.81	-71.44	83
BAL03	Oriole Park I	Baltimore, MD	05/01/1883	10/13/1888	352	39.32	-76.61	164
MIN04	Target Field	Minneapolis, MN	04/12/2010		324	44.98	-93.28	840
NYC01	Union Grounds	Brooklyn, NY	05/25/1871	07/26/1878	315	40.70	-73.96	38
LOS01	Los Angeles Memorial Coliseum	Los Angeles, CA	04/18/1958	09/20/1961	309	34.01	-118.29	139
NYC05	Washington Park I	Brooklyn, NY	05/05/1884	05/04/1889	290	40.67	-73.99	30
CLE02	National League Park I	Cleveland, OH	05/01/1879	10/11/1884	275	41.50	-81.65	667
WAS05	Swampoodle Grounds	Washington, DC	04/29/1886	09/21/1889	250	38.90	-77.01	40
CLE03	National League Park II	Cleveland, OH	05/04/1887	10/04/1890	246	41.50	-81.66	660
HOU01	Colt Stadium	Houston, TX	04/10/1962	09/27/1964	244	29.69	-95.41	55
PHI04	Recreation Park	Philadelphia, PA	05/01/1883	10/09/1886	224	39.98	-75.17	104
BUF01	Riverside Grounds	Buffalo, NY	05/01/1879	09/08/1883	212	42.91	-78.89	631
CHI03	White Stocking Park	Chicago, IL	05/14/1878	09/30/1882	208	41.88	-87.62	585
WAS07	American League Park I	Washington, DC	04/29/1901	09/28/1903	207	38.90	-76.99	48
COL02	Recreation Park II	Columbus, OH	04/28/1889	09/22/1891	202	39.95	-82.99	758
CIN03	Bank Street Grounds	Cincinnati, OH	05/01/1880	10/15/1884	185	39.12	-84.54	496
CHI07	South Side Park II	Chicago, IL	05/05/1890	05/24/1893	181	41.83	-87.63	595
STL04	Palace Park of America	St. Louis, MO	04/20/1884	09/23/1886	175	38.65	-90.21	507
BOS04	Congress Street Grounds	Boston, MA	04/19/1890	06/20/1894	167	42.35	-71.05	9
MIA02	Marlins Park	Miami, FL	04/04/2012		162	25.78	-80.22	6
STL08	Handlan's Park	St. Louis, MO	04/16/1914	10/03/1915	158	38.63	-90.23	512
BAL10	Terrapin Park	Baltimore, MD	04/13/1914	10/02/1915	158	39.32	-76.61	203
BUF04	International Fair Association Grounds	Buffalo, NY	05/11/1914	09/08/1915	156	42.92	-78.85	630
SFO01	Seals Stadium	San Francisco, CA	04/15/1958	09/20/1959	154	37.77	-122.41	61
NYC19	Washington Park IV	Brooklyn, NY	05/11/1914	09/30/1915	154	40.67	-73.99	26
KAN04	Gordon and Koppel Field	Kansas City, MO	04/16/1914	09/28/1915	151	39.04	-94.57	805
SAI01	St. George Cricket Grounds	New York, NY	04/22/1886	06/14/1889	148	40.65	-74.08	5
