bondsba01	bondsba01h	0	36	1	2013			1	36
bagweje01	bagweje01h	0	60	3	2011			1	42|56|60
walkela01	walkela01h	0	23	3	2011			1	20|23|22
palmera01	palmera01h	0	13	3	2011			1	11|13|9
trammal01	trammal01h	0	37	12	2002			1	16|14|14|17|18|13|18|17|22|24|37|34
raineti01	raineti01h	0	52	6	2008			1	24|23|30|38|49|52
martied01	martied01h	0	36	4	2010			1	36|33|36|36
biggicr01	biggicr01h	0	68	1	2013			1	68
mcgwima01	mcgwima01h	0	24	7	2007			1	23|24|22|24|20|20|17
piazzmi01	piazzmi01h	0	58	1	2013			1	58
sosasa01	sosasa01h	0	12	1	2013			1	12
mcgrifr01	mcgrifr01h	0	24	4	2010			1	22|18|24|21
murphda05	murphda05h	0	23	15	1999			1	19|23|18|15|12|8|10|11|9|14|12|12|13|14|19
mattido01	mattido01h	0	28	13	2001			1	28|20|14|13|11|12|10|16|12|16|14|18|13
ruthba01	ruthba01h	1	95	1	1936	1936	BBWAA	0	95
mayswi01	mayswi01h	1	95	1	1979	1979	BBWAA	0	95
cobbty01	cobbty01h	1	98	1	1936	1936	BBWAA	0	98
aaronha01	aaronha01h	1	98	1	1982	1982	BBWAA	0	98
speaktr01	speaktr01h	1	82	2	1936	1937	BBWAA	0	59|82
wagneho01	wagneho01h	1	95	1	1936	1936	BBWAA	0	95
musiast01	musiast01h	1	93	1	1969	1969	BBWAA	0	93
hornsro01	hornsro01h	1	78	5	1936	1942	BBWAA	0	46|26|18|64|78
collied01	collied01h	1	78	4	1936	1939	BBWAA	0	27|57|67|78
willite01	willite01h	1	93	1	1966	1966	BBWAA	0	93
gehrilo01	gehrilo01h	1	23	2	1936	1939	Special Election	0	23
henderi01	henderi01h	1	95	1	2009	2009	BBWAA	0	95
mantlmi01	mantlmi01h	1	88	1	1974	1974	BBWAA	0	88
ottme01	ottme01h	1	87	3	1949	1951	BBWAA	0	68|68|87
lajoina01	lajoina01h	1	84	2	1936	1937	BBWAA	0	65|84
robinfr02	robinfr02h	1	89	1	1982	1982	BBWAA	0	89
schmimi01	schmimi01h	1	97	1	1995	1995	BBWAA	0	97
morgajo02	morgajo02h	1	82	1	1990	1990	BBWAA	0	82
foxxji01	foxxji01h	1	79	7	1936	1951	BBWAA	0	9|13|6|41|48|61|79
matheed01	matheed01h	1	79	5	1974	1978	BBWAA	0	32|41|49|62|79
yastrca01	yastrca01h	1	95	1	1989	1989	BBWAA	0	95
ripkeca01	ripkeca01h	1	99	1	2007	2007	BBWAA	0	99
clemero01	clemero01h	1	\N	1	1973	1973	Special Election	0	\N
ansonca01	ansonca01h	1	50	2	1936	1939	Old Timers	0	50
kalinal01	kalinal01h	1	88	1	1980	1980	BBWAA	0	88
boggswa01	boggswa01h	1	92	1	2005	2005	BBWAA	0	92
brettge01	brettge01h	1	98	1	1999	1999	BBWAA	0	98
davisge01	davisge01h	1	\N	1	1998	1998	Veterans	0	\N
connoro01	connoro01h	1	\N	1	1976	1976	Veterans	0	\N
carewro01	carewro01h	1	91	1	1991	1991	BBWAA	0	91
gehrich01	gehrich01h	1	85	6	1936	1949	Run Off	0	0|4|21|65|43|85
broutda01	broutda01h	1	3	2	1936	1945	Old Timers	0	3
rosepe01	rosepe01h	0	10	3	1992			0	10|3|4
robinbr01	robinbr01h	1	92	1	1983	1983	BBWAA	0	92
dimagjo01	dimagjo01h	1	89	4	1945	1955	BBWAA	0	0|44|69|89
yountro01	yountro01h	1	77	1	1999	1999	BBWAA	0	77
smithoz01	smithoz01h	1	92	1	2002	2002	BBWAA	0	92
molitpa01	molitpa01h	1	85	1	2004	2004	BBWAA	0	85
dahlebi01	dahlebi01h	0	1	2	1936			0	1|0
crawfsa01	crawfsa01h	1	4	8	1936	1957	Veterans	0	0|2|4|2|1|2|4
benchjo01	benchjo01h	1	96	1	1989	1989	BBWAA	0	96
whitalo01	whitalo01h	0	3	1	2001			0	3
applilu01	applilu01h	1	94	7	1953	1964	Run Off	0	1|1|7|29|27|30|94
jacksre01	jacksre01h	1	94	1	1993	1993	BBWAA	0	94
vaughar01	vaughar01h	1	29	12	1953	1985	Veterans	0	0|1|2|5|2|4|4|8|12|16|29
wanerpa01	wanerpa01h	1	83	6	1946	1952	BBWAA	0	2|42|48|57|72|83
heilmha01	heilmha01h	1	87	12	1937	1952	BBWAA	0	5|5|3|2|2|11|40|33|39|52|68|87
mizejo01	mizejo01h	1	44	12	1960	1981	Veterans	0	17|9|27|27|30|36|34|42|44|40|41
grichbo01	grichbo01h	0	3	1	1992			0	3
santoro01	santoro01h	1	43	16	1980	2012	Veterans	0	4|13|15|19|25|17|22|26|32|37|33|30|37|39|43
friscfr01	friscfr01h	1	84	6	1936	1947	BBWAA	0	6|9|36|41|51|84
wallabo01	wallabo01h	1	3	7	1936	1953	Veterans	0	1|0|3|2|1|1
larkiba01	larkiba01h	1	86	3	2010	2012	BBWAA	0	52|62|86
cartega01	cartega01h	1	78	6	1998	2003	BBWAA	0	42|34|50|65|73|78
delahed01	delahed01h	0	53	6	1936			0	27|35|50|53|45|45
gwynnto01	gwynnto01h	1	98	1	2007	2007	BBWAA	0	98
simmoal01	simmoal01h	1	75	9	1936	1953	BBWAA	0	2|0|4|50|58|54|51|60|75
murraed02	murraed02h	1	85	1	2003	2003	BBWAA	0	85
fiskca01	fiskca01h	1	80	2	1999	2000	BBWAA	0	66|80
loftoke01	loftoke01h	0	3	1	2013			0	3
nettlgr01	nettlgr01h	0	8	4	1994			0	8|6|8|5
clarkfr01	clarkfr01h	0	25	6	1936			0	12|11|24|22|25|21
sandbry01	sandbry01h	1	76	3	2003	2005	BBWAA	0	49|61|76
bankser01	bankser01h	1	84	1	1977	1977	BBWAA	0	84
evansdw01	evansdw01h	0	10	3	1997			0	6|10|4
alomaro01	alomaro01h	1	90	2	2010	2011	BBWAA	0	74|90
snidedu01	snidedu01h	1	86	11	1970	1980	BBWAA	0	17|25|21|27|30|36|41|55|67|71|86
cronijo01	cronijo01h	1	79	10	1947	1956	BBWAA	0	4|21|22|20|19|21|26|34|54|79
reesepe01	reesepe01h	1	48	15	1964	1984	Veterans	0	36|31|30|29|26|32|35|33|33|39|43|48|43|45
gosligo01	gosligo01h	1	13	10	1948	1968	Veterans	0	1|3|1|0|3|13|10|11|9
bellbu01	bellbu01h	0	2	1	1995			0	2
randowi01	randowi01h	0	1	1	1998			0	1
smithre06	smithre06h	0	1	1	1988			0	1
dawsoan01	dawsoan01h	1	78	9	2002	2010	BBWAA	0	45|50|50|52|61|57|66|67|78
mccovwi01	mccovwi01h	1	81	1	1986	1986	BBWAA	0	81
winfida01	winfida01h	1	84	1	2001	2001	BBWAA	0	84
willibi01	willibi01h	1	86	6	1982	1987	BBWAA	0	23|41|50|64|74|86
ashburi01	ashburi01h	1	42	16	1968	1995	Veterans	0	2|3|4|3|3|7|15|21|22|36|42|30|35|35|30
hamilbi01	hamilbi01h	1	3	3	1936	1961	Veterans	0	3|0
boudrlo01	boudrlo01h	1	77	10	1956	1970	BBWAA	0	1|24|13|8|34|38|49|52|64|77
burkeje01	burkeje01h	0	2	6	1936			0	1|0|1|2|1|1
bakerfr01	bakerfr01h	1	30	12	1936	1955	Veterans	0	0|6|12|11|17|11|19|30|3|2|4
boyerke01	boyerke01h	0	26	15	1975			0	2|4|4|5|5|17|22|23|26|14|18|13|17|16|12
jacksjo01	jacksjo01h	0	1	2	1936			0	1|1
glassja01	glassja01h	0	3	1	1936			0	3
becklja01	becklja01h	1	1	3	1936	1971	Veterans	0	1|0
robinja02	robinja02h	1	78	1	1962	1962	BBWAA	0	78
bandosa01	bandosa01h	0	1	1	1987			0	1
killeha01	killeha01h	1	83	4	1981	1984	BBWAA	0	60|59|72|83
wheatza01	wheatza01h	1	23	17	1937	1959	Veterans	0	2|3|1|1|1|3|23|12|10|10|8|13|12|13|20|13
hernake01	hernake01h	0	11	9	1996			0	5|10|11|7|10|8|6|6|4
berrayo01	berrayo01h	1	86	2	1971	1972	BBWAA	0	67|86
mageesh01	mageesh01h	0	1	8	1937			0	1|1|0|0|0|0|1|1
allendi01	allendi01h	0	19	14	1983			0	4|7|10|13|12|8|13|13|16|17|14|16|19|17
evansda01	evansda01h	0	2	1	1995			0	2
olerujo01	olerujo01h	0	1	1	2011			0	1
bondsbo01	bondsbo01h	0	11	11	1987			0	6|6|6|7|9|9|11|8|8|5|4
torrejo01	torrejo01h	0	22	15	1983			0	5|11|11|14|11|14|9|12|9|14|15|12|11|11|22
greenha01	greenha01h	1	85	9	1945	1956	BBWAA	0	1|44|38|30|32|30|38|63|85
stargwi01	stargwi01h	1	82	1	1988	1988	BBWAA	0	82
johnsbo01	johnsbo01h	0	1	2	1948			0	1|1
gordojo01	gordojo01h	1	29	13	1945	2009	Veterans	0	0|0|2|4|4|3|15|10|23|27|29|26
clarkwi02	clarkwi02h	0	4	1	2006			0	4
venturo01	venturo01h	0	1	1	2010			0	1
dickebi01	dickebi01h	1	80	9	1945	1954	BBWAA	0	7|20|32|42|46|52|59|68|80
aparilu01	aparilu01h	1	85	6	1979	1984	BBWAA	0	28|32|12|42|67|85
wynnji01	wynnji01h	0	0	1	1983			0	0
medwijo01	medwijo01h	1	85	9	1948	1968	BBWAA	0	1|16|19|14|21|65|62|81|85
lemonch01	lemonch01h	0	0	1	1996			0	0
slaugen01	slaugen01h	1	69	15	1966	1985	Veterans	0	33|42|46|38|44|46|38|38|40|49|51|58|69|69
hermabi01	hermabi01h	1	20	8	1948	1975	Veterans	0	1|1|3|3|13|9|20
sislege01	sislege01h	1	86	4	1936	1939	BBWAA	0	34|53|68|86
cruzjo01	cruzjo01h	0	0	1	1994			0	0
terrybi01	terrybi01h	1	77	14	1936	1954	BBWAA	0	4|3|6|15|13|15|29|43|53|63|65|66|72|77
careyma01	careyma01h	1	51	15	1937	1961	Veterans	0	3|2|3|0|7|8|8|12|15|21|22|47|34|51
pinsova01	pinsova01h	0	16	15	1981			0	4|1|3|5|10|12|16|7|8|7|8|9|10|7|11
keelewi01	keelewi01h	1	76	4	1936	1939	BBWAA	0	18|57|68|76
perezto01	perezto01h	1	77	9	1992	2000	BBWAA	0	50|55|58|56|66|66|68|61|77
