black                      	000000	  0   0   0
very dark blue             	000133	  0   1  51
dark navy blue             	00022e	  0   2  46
dark navy                  	000435	  0   4  53
navy blue                  	001146	  0  17  70
dark forest green          	002d04	  0  45   4
prussian blue              	004577	  0  69 119
dark blue green            	005249	  0  82  73
deep teal                  	00555a	  0  85  90
petrol                     	005f6a	  0  95 106
kelley green               	009337	  0 147  55
greenish turquoise         	00fbb0	  0 251 176
cyan                       	00ffff	  0 255 255
true blue                  	010fcc	  1  15 204
navy                       	01153e	  1  21  62
marine blue                	01386a	  1  56 106
darkish blue               	014182	  1  65 130
racing green               	014600	  1  70   0
dark teal                  	014d4e	  1  77  78
deep sea blue              	015482	  1  84 130
bright blue                	0165fc	  1 101 252
peacock blue               	016795	  1 103 149
dark aquamarine            	017371	  1 115 113
deep turquoise             	017374	  1 115 116
ocean                      	017b92	  1 123 146
teal blue                  	01889f	  1 136 159
irish green                	019529	  1 149  41
emerald                    	01a049	  1 160  73
shamrock                   	01b44c	  1 180  76
green/blue                 	01c08d	  1 192 141
bright teal                	01f9c6	  1 249 198
bright green               	01ff07	  1 255   7
midnight blue              	020035	  2   0  53
pure blue                  	0203e2	  2   3 226
dark royal blue            	02066f	  2   6 111
rich blue                  	021bf9	  2  27 249
deep green                 	02590f	  2  89  15
emerald green              	028f1e	  2 143  30
teal                       	029386	  2 147 134
kelly green                	02ab2e	  2 171  46
shamrock green             	02c14d	  2 193  77
bright sky blue            	02ccfe	  2 204 254
aqua blue                  	02d8e9	  2 216 233
midnight                   	03012d	  3   1  45
darkblue                   	030764	  3   7 100
cobalt blue                	030aa7	  3  10 167
vibrant blue               	0339f8	  3  57 248
blue                       	0343df	  3  67 223
ocean blue                 	03719c	  3 113 156
deep blue                  	040273	  4   2 115
night blue                 	040348	  4   3  72
marine                     	042e60	  4  46  96
bottle green               	044a05	  4  74   5
dark turquoise             	045c5a	  4  92  90
sea blue                   	047495	  4 116 149
jungle green               	048243	  4 130  67
cerulean                   	0485d1	  4 133 209
neon blue                  	04d9ff	  4 217 255
turquoise green            	04f489	  4 244 137
royal blue                 	0504aa	  5   4 170
evergreen                  	05472a	  5  71  42
british racing green       	05480d	  5  72  13
darkgreen                  	054907	  5  73   7
dark aqua                  	05696b	  5 105 107
cerulean blue              	056eee	  5 110 238
bright sea green           	05ffa6	  5 255 166
very dark green            	062e03	  6  46   3
forest green               	06470c	  6  71  12
electric blue              	0652ff	  6  82 255
azure                      	069af3	  6 154 243
turquoise blue             	06b1c4	  6 177 196
turquoise                  	06c2ac	  6 194 172
almost black               	070d0d	  7  13  13
primary blue               	0804f9	  8   4 249
deep aqua                  	08787f	  8 120 127
true green                 	089404	  8 148   4
fluorescent green          	08ff08	  8 255   8
twilight blue              	0a437a	 10  67 122
pine green                 	0a481e	 10  72  30
spruce                     	0a5f38	 10  95  56
dark cyan                  	0a888a	 10 136 138
vibrant green              	0add08	 10 221   8
fluro green                	0aff02	 10 255   2
hunter green               	0b4008	 11  64   8
forest                     	0b5509	 11  85   9
greenish blue              	0b8b87	 11 139 135
minty green                	0bf77d	 11 247 125
bright aqua                	0bf9ea	 11 249 234
strong blue                	0c06f7	 12   6 247
royal                      	0c1793	 12  23 147
green teal                 	0cb577	 12 181 119
tealish green              	0cdc73	 12 220 115
neon green                 	0cff0c	 12 255  12
deep sky blue              	0d75f8	 13 117 248
water blue                 	0e87cc	 14 135 204
blue/green                 	0f9b8e	 15 155 142
bright turquoise           	0ffef9	 15 254 249
nice blue                  	107ab0	 16 122 176
bluish green               	10a674	 16 166 116
dark sea green             	11875d	 17 135  93
aqua green                 	12e193	 18 225 147
topaz                      	13bbaf	 19 187 175
aqua                       	13eac9	 19 234 201
vivid blue                 	152eff	 21  46 255
forrest green              	154406	 21  68   6
light navy                 	155084	 21  80 132
green                      	15b01a	 21 176  26
ultramarine blue           	1805db	 24   5 219
seaweed                    	18d17b	 24 209 123
dark                       	1b2431	 27  36  49
highlighter green          	1bfc06	 27 252   6
very dark brown            	1d0200	 29   2   0
azul                       	1d5dec	 29  93 236
cobalt                     	1e488f	 30  72 143
viridian                   	1e9167	 30 145 103
spearmint                  	1ef876	 30 248 118
dark indigo                	1f0954	 31   9  84
dark blue grey             	1f3b4d	 31  59  77
dark green blue            	1f6357	 31  99  87
jade                       	1fa774	 31 167 116
dark seafoam               	1fb57a	 31 181 122
ultramarine                	2000b1	 32   0 177
dark mint green            	20c073	 32 192 115
wintergreen                	20f986	 32 249 134
sapphire                   	2138ab	 33  56 171
dark slate blue            	214761	 33  71  97
algae green                	21c36f	 33 195 111
electric green             	21fc0d	 33 252  13
blue blue                  	2242c7	 34  66 199
clear blue                 	247afd	 36 122 253
tealish                    	24bca8	 36 188 168
teal green                 	25a36f	 37 163 111
hot green                  	25ff29	 37 255  41
dusk blue                  	26538d	 38  83 141
bright light blue          	26f7fd	 38 247 253
mid blue                   	276ab3	 39 106 179
midnight purple            	280137	 40   1  55
darkish green              	287c37	 40 124  55
dark grey blue             	29465b	 41  70  91
bluish                     	2976bb	 41 118 187
very dark purple           	2a0134	 42   1  52
tree green                 	2a7e19	 42 126  25
greenish cyan              	2afeb7	 42 254 183
pine                       	2b5d34	 43  93  52
jade green                 	2baf6a	 43 175 106
bluey green                	2bb179	 43 177 121
medium blue                	2c6fbb	 44 111 187
radioactive green          	2cfa1f	 44 250  31
bright light green         	2dfe54	 45 254  84
light navy blue            	2e5a88	 46  90 136
aqua marine                	2ee8bb	 46 232 187
vivid green                	2fef10	 47 239  16
ugly blue                  	31668a	 49 102 138
greenish teal              	32bf84	 50 191 132
cool green                 	33b864	 51 184 100
dark violet                	34013f	 52   1  63
dark brown                 	341c02	 52  28   2
charcoal                   	343837	 52  56  55
dark purple                	35063e	 53   6  62
navy green                 	35530a	 53  83  10
seaweed green              	35ad6b	 53 173 107
deep purple                	36013f	 54   1  63
dark grey                  	363737	 54  55  55
dark olive                 	373e02	 55  62   2
windows blue               	3778bf	 55 120 191
indigo                     	380282	 56   2 130
eggplant                   	380835	 56   8  53
dark grass green           	388004	 56 128   4
medium green               	39ad48	 57 173  72
indigo blue                	3a18b1	 58  24 177
light royal blue           	3a2efe	 58  46 254
weird green                	3ae57f	 58 229 127
denim blue                 	3b5b92	 59  91 146
denim                      	3b638c	 59  99 140
muted blue                 	3b719f	 59 113 159
dark maroon                	3c0008	 60   0   8
charcoal grey              	3c4142	 60  65  66
dark olive green           	3c4d03	 60  77   3
flat blue                  	3c73a8	 60 115 168
sea                        	3c9992	 60 153 146
aubergine                  	3d0734	 61   7  52
chocolate                  	3d1c02	 61  28   2
lightish blue              	3d7afd	 61 122 253
ocean green                	3d9973	 61 153 115
dodger blue                	3e82fc	 62 130 252
dark seafoam green         	3eaf76	 62 175 118
dark plum                  	3f012c	 63   1  44
dirty blue                 	3f829d	 63 130 157
grass green                	3f9b0b	 63 155  11
greenish                   	40a368	 64 163 104
poison green               	40fd14	 64 253  20
deep brown                 	410200	 65   2   0
chocolate brown            	411900	 65  25   0
grassy green               	419c03	 65 156   3
bright cyan                	41fdfe	 65 253 254
greeny blue                	42b395	 66 179 149
eggplant purple            	430541	 67   5  65
french blue                	436bad	 67 107 173
dark sky blue              	448ee4	 68 142 228
blueberry                  	464196	 70  65 150
dusky blue                 	475f94	 71  95 148
dark mint                  	48c072	 72 192 114
deep violet                	490648	 73   6  72
dull blue                  	49759c	 73 117 156
cool blue                  	4984b8	 73 132 184
mahogany                   	4a0100	 74   1   0
royal purple               	4b006e	 75   0 110
dried blood                	4b0101	 75   1   1
warm blue                  	4b57db	 75  87 219
army green                 	4b5d16	 75  93  22
camouflage green           	4b6113	 75  97  19
dusty teal                 	4c9085	 76 144 133
lawn green                 	4da409	 77 164   9
plum purple                	4e0550	 78   5  80
twilight                   	4e518b	 78  81 139
dusk                       	4e5481	 78  84 129
cadet blue                 	4e7496	 78 116 150
light neon green           	4efd54	 78 253  84
metallic blue              	4f738e	 79 115 142
light forest green         	4f9153	 79 145  83
stormy blue                	507b9c	 80 123 156
mid green                  	50a747	 80 167  71
violet blue                	510ac9	 81  10 201
slate                      	516572	 81 101 114
cornflower blue            	5170d7	 81 112 215
leafy green                	51b73b	 81 183  59
camo green                 	526525	 82 101  37
blue with a hint of purple 	533cc6	 83  60 198
gunmetal                   	536267	 83  98 103
sea green                  	53fca1	 83 252 161
light bright green         	53fe5c	 83 254  92
green brown                	544e03	 84  78   3
fern green                 	548d44	 84 141  68
algae                      	54ac68	 84 172 104
blurple                    	5539cc	 85  57 204
off blue                   	5684ae	 86 132 174
dark pastel green          	56ae57	 86 174  87
light green blue           	56fca2	 86 252 162
plum                       	580f41	 88  15  65
frog green                 	58bc08	 88 188   8
slate grey                 	59656d	 89 101 109
dark sage                  	598556	 89 133  86
blue/purple                	5a06ef	 90   6 239
steel blue                 	5a7d9a	 90 125 154
dusty blue                 	5a86ad	 90 134 173
slate blue                 	5b7c99	 91 124 153
sap green                  	5c8b15	 92 139  21
leaf green                 	5ca904	 92 169   4
grass                      	5cac2d	 92 172  45
kermit green               	5cb200	 92 178   0
blue violet                	5d06e9	 93   6 233
grape purple               	5d1451	 93  20  81
purple/blue                	5d21d0	 93  33 208
greyish blue               	5e819d	 94 129 157
grey teal                  	5e9b8a	 94 155 138
green apple                	5edc1f	 94 220  31
purpley blue               	5f34e7	 95  52 231
dull teal                  	5f9e8f	 95 158 143
muted green                	5fa052	 95 160  82
purplish blue              	601ef9	 96  30 249
mud brown                  	60460f	 96  70  15
mud green                  	606602	 96 102   2
burgundy                   	610023	 97   0  35
purpleish blue             	6140ef	 97  64 239
toxic green                	61de2a	 97 222  42
lightish green             	61e160	 97 225  96
bluey purple               	6241c7	 98  65 199
iris                       	6258c4	 98  88 196
mossy green                	638b27	 99 139  39
fern                       	63a950	 99 169  80
boring green               	63b365	 99 179 101
light greenish blue        	63f7b4	 99 247 180
olive brown                	645403	100  84   3
grey/blue                  	647d8e	100 125 142
soft blue                  	6488ea	100 136 234
maroon                     	650021	101   0  33
brown                      	653700	101  55   0
muddy green                	657432	101 116  50
moss green                 	658b38	101 139  56
faded blue                 	658cbb	101 140 187
slate green                	658d6d	101 141 109
tea                        	65ab7c	101 171 124
bright lime green          	65fe08	101 254   8
purply blue                	661aee	102  26 238
dark periwinkle            	665fd1	102  95 209
military green             	667c3e	102 124  62
dirty green                	667e2c	102 126  44
purple brown               	673a3f	103  58  63
olive green                	677a04	103 122   4
claret                     	680018	104   0  24
burple                     	6832e3	104  50 227
greeny brown               	696006	105  96   6
greenish brown             	696112	105  97  18
swamp                      	698339	105 131  57
flat green                 	699d4c	105 157  76
fresh green                	69d84f	105 216  79
brownish green             	6a6e09	106 110   9
cornflower                 	6a79f7	106 121 247
purplish brown             	6b4247	107  66  71
battleship grey            	6b7c85	107 124 133
off green                  	6ba353	107 163  83
grape                      	6c3461	108  52  97
murky green                	6c7a0e	108 122  14
light indigo               	6d5acf	109  90 207
robin's egg                	6dedfd	109 237 253
reddy brown                	6e1005	110  16   5
olive                      	6e750e	110 117  14
apple                      	6ecb3c	110 203  60
browny green               	6f6c0a	111 108  10
olive drab                 	6f7632	111 118  50
poop green                 	6f7c00	111 124   0
steel grey                 	6f828a	111 130 138
soft green                 	6fc276	111 194 118
bluish purple              	703be7	112  59 231
brown green                	706c11	112 108  17
nasty green                	70b23f	112 178  63
greyish teal               	719f91	113 159 145
leaf                       	71aa34	113 170  52
rich purple                	720058	114   0  88
khaki green                	728639	114 134  57
dark yellow green          	728f02	114 143   2
merlot                     	730039	115   0  57
dirty purple               	734a65	115  74 101
mud                        	735c12	115  92  18
