Black                      	000000	  0   0   0
Navy Blue                  	000080	  0   0 128
Dark Blue                  	0000c8	  0   0 200
Blue                       	0000ff	  0   0 255
Stratos                    	000741	  0   7  65
Swamp                      	001b1c	  0  27  28
Resolution Blue            	002387	  0  35 135
Deep Fir                   	002900	  0  41   0
Burnham                    	002e20	  0  46  32
International Klein Blue   	002fa7	  0  47 167
Prussian Blue              	003153	  0  49  83
Midnight Blue              	003366	  0  51 102
Smalt                      	003399	  0  51 153
Deep Teal                  	003532	  0  53  50
Cyprus                     	003e40	  0  62  64
Kaitoke Green              	004620	  0  70  32
Cobalt                     	0047ab	  0  71 171
Crusoe                     	004816	  0  72  22
Sherpa Blue                	004950	  0  73  80
Endeavour                  	0056a7	  0  86 167
Camarone                   	00581a	  0  88  26
Science Blue               	0066cc	  0 102 204
Blue Ribbon                	0066ff	  0 102 255
Tropical Rain Forest       	00755e	  0 117  94
Allports                   	0076a3	  0 118 163
Deep Cerulean              	007ba7	  0 123 167
Lochmara                   	007ec7	  0 126 199
Azure Radiance             	007fff	  0 127 255
Teal                       	008080	  0 128 128
Bondi Blue                 	0095b6	  0 149 182
Pacific Blue               	009dc4	  0 157 196
Persian Green              	00a693	  0 166 147
Jade                       	00a86b	  0 168 107
Caribbean Green            	00cc99	  0 204 153
Robin's Egg Blue           	00cccc	  0 204 204
Green                      	00ff00	  0 255   0
Spring Green               	00ff7f	  0 255 127
Cyan / Aqua                	00ffff	  0 255 255
Blue Charcoal              	010d1a	  1  13  26
Midnight                   	011635	  1  22  53
Holly                      	011d13	  1  29  19
Daintree                   	012731	  1  39  49
Cardin Green               	01361c	  1  54  28
County Green               	01371a	  1  55  26
Astronaut Blue             	013e62	  1  62  98
Regal Blue                 	013f6a	  1  63 106
Aqua Deep                  	014b43	  1  75  67
Orient                     	015e85	  1  94 133
Blue Stone                 	016162	  1  97  98
Fun Green                  	016d39	  1 109  57
Pine Green                 	01796f	  1 121 111
Blue Lagoon                	017987	  1 121 135
Deep Sea                   	01826b	  1 130 107
Green Haze                 	01a368	  1 163 104
English Holly              	022d15	  2  45  21
Sherwood Green             	02402c	  2  64  44
Congress Blue              	02478e	  2  71 142
Evening Sea                	024e46	  2  78  70
Bahama Blue                	026395	  2  99 149
Observatory                	02866f	  2 134 111
Cerulean                   	02a4d3	  2 164 211
Tangaroa                   	03163c	  3  22  60
Green Vogue                	032b52	  3  43  82
Mosque                     	036a6e	  3 106 110
Midnight Moss              	041004	  4  16   4
Black Pearl                	041322	  4  19  34
Blue Whale                 	042e4c	  4  46  76
Zuccini                    	044022	  4  64  34
Teal Blue                  	044259	  4  66  89
Deep Cove                  	051040	  5  16  64
Gulf Blue                  	051657	  5  22  87
Venice Blue                	055989	  5  89 137
Watercourse                	056f57	  5 111  87
Catalina Blue              	062a78	  6  42 120
Tiber                      	063537	  6  53  55
Gossamer                   	069b81	  6 155 129
Niagara                    	06a189	  6 161 137
Tarawera                   	073a50	  7  58  80
Jaguar                     	080110	  8   1  16
Black Bean                 	081910	  8  25  16
Deep Sapphire              	082567	  8  37 103
Elf Green                  	088370	  8 131 112
Bright Turquoise           	08e8de	  8 232 222
Downriver                  	092256	  9  34  86
Palm Green                 	09230f	  9  35  15
Madison                    	09255d	  9  37  93
Bottle Green               	093624	  9  54  36
Deep Sea Green             	095859	  9  88  89
Salem                      	097f4b	  9 127  75
Black Russian              	0a001c	 10   0  28
Dark Fern                  	0a480d	 10  72  13
Japanese Laurel            	0a6906	 10 105   6
Atoll                      	0a6f75	 10 111 117
Cod Gray                   	0b0b0b	 11  11  11
