acidgreen                  	8ffe09	143 254   9
adobe                      	bd6c48	189 108  72
algae                      	54ac68	 84 172 104
algaegreen                 	21c36f	 33 195 111
almostblack                	070d0d	  7  13  13
amber                      	feb308	254 179   8
amethyst                   	9b5fc0	155  95 192
apple                      	6ecb3c	110 203  60
applegreen                 	76cd26	118 205  38
apricot                    	ffb16d	255 177 109
aqua                       	13eac9	 19 234 201
aquablue                   	02d8e9	  2 216 233
aquagreen                  	12e193	 18 225 147
aquamarine                 	2ee8bb	 46 232 187
armygreen                  	4b5d16	 75  93  22
asparagus                  	77ab56	119 171  86
aubergine                  	3d0734	 61   7  52
auburn                     	9a3001	154  48   1
avocado                    	90b134	144 177  52
avocadogreen               	87a922	135 169  34
azul                       	1d5dec	 29  93 236
azure                      	069af3	  6 154 243
babyblue                   	a2cffe	162 207 254
babygreen                  	8cff9e	140 255 158
babypink                   	ffb7ce	255 183 206
babypoo                    	ab9004	171 144   4
babypoop                   	937c00	147 124   0
babypoopgreen              	8f9805	143 152   5
babypukegreen              	b6c406	182 196   6
babypurple                 	ca9bf7	202 155 247
babyshitbrown              	ad900d	173 144  13
babyshitgreen              	889717	136 151  23
banana                     	ffff7e	255 255 126
bananayellow               	fafe4b	250 254  75
barbiepink                 	fe46a5	254  70 165
barfgreen                  	94ac02	148 172   2
barney                     	ac1db8	172  29 184
barneypurple               	a00498	160   4 152
battleshipgrey             	6b7c85	107 124 133
beige                      	e6daa6	230 218 166
berry                      	990f4b	153  15  75
bile                       	b5c306	181 195   6
black                      	000000	  0   0   0
bland                      	afa88b	175 168 139
blood                      	770001	119   0   1
bloodorange                	fe4b03	254  75   3
bloodred                   	980002	152   0   2
blue                       	0343df	  3  67 223
blueberry                  	464196	 70  65 150
blueblue                   	2242c7	 34  66 199
bluegreen                  	0f9b8e	 15 155 142
bluegrey                   	85a3b2	133 163 178
bluepurple                 	5a06ef	 90   6 239
blueviolet                 	5d06e9	 93   6 233
bluewithahintofpurple      	533cc6	 83  60 198
blueygreen                 	2bb179	 43 177 121
blueygrey                  	89a0b0	137 160 176
blueypurple                	6241c7	 98  65 199
bluish                     	2976bb	 41 118 187
bluishgreen                	10a674	 16 166 116
bluishgrey                 	748b97	116 139 151
bluishpurple               	703be7	112  59 231
blurple                    	5539cc	 85  57 204
blush                      	f29e8e	242 158 142
blushpink                  	fe828c	254 130 140
booger                     	9bb53c	155 181  60
boogergreen                	96b403	150 180   3
bordeaux                   	7b002c	123   0  44
boringgreen                	63b365	 99 179 101
bottlegreen                	044a05	  4  74   5
brick                      	a03623	160  54  35
brickorange                	c14a09	193  74   9
brickred                   	8f1402	143  20   2
brightaqua                 	0bf9ea	 11 249 234
brightblue                 	0165fc	  1 101 252
brightcyan                 	41fdfe	 65 253 254
brightgreen                	01ff07	  1 255   7
brightlavender             	c760ff	199  96 255
brightlightblue            	26f7fd	 38 247 253
brightlightgreen           	2dfe54	 45 254  84
brightlilac                	c95efb	201  94 251
brightlime                 	87fd05	135 253   5
brightlimegreen            	65fe08	101 254   8
brightmagenta              	ff08e8	255   8 232
brightolive                	9cbb04	156 187   4
brightorange               	ff5b00	255  91   0
brightpink                 	fe01b1	254   1 177
brightpurple               	be03fd	190   3 253
brightred                  	ff000d	255   0  13
brightseagreen             	05ffa6	  5 255 166
brightskyblue              	02ccfe	  2 204 254
brightteal                 	01f9c6	  1 249 198
brightturquoise            	0ffef9	 15 254 249
brightviolet               	ad0afd	173  10 253
brightyellow               	fffd01	255 253   1
brightyellowgreen          	9dff00	157 255   0
britishracinggreen         	05480d	  5  72  13
bronze                     	a87900	168 121   0
brown                      	653700	101  55   0
browngreen                 	706c11	112 108  17
browngrey                  	8d8468	141 132 104
brownish                   	9c6d57	156 109  87
brownishgreen              	6a6e09	106 110   9
brownishgrey               	86775f	134 119  95
brownishorange             	cb7723	203 119  35
brownishpink               	c27e79	194 126 121
brownishpurple             	76424e	118  66  78
brownishred                	9e3623	158  54  35
brownishyellow             	c9b003	201 176   3
brownorange                	b96902	185 105   2
brownred                   	922b05	146  43   5
brownyellow                	b29705	178 151   5
brownygreen                	6f6c0a	111 108  10
brownyorange               	ca6b02	202 107   2
bruise                     	7e4071	126  64 113
bubblegum                  	ff6cb5	255 108 181
bubblegumpink              	ff69af	255 105 175
buff                       	fef69e	254 246 158
burgundy                   	610023	 97   0  35
burntorange                	c04e01	192  78   1
burntred                   	9f2305	159  35   5
burntsiena                 	b75203	183  82   3
burntsienna                	b04e0f	176  78  15
burntumber                 	a0450e	160  69  14
burntyellow                	d5ab09	213 171   9
burple                     	6832e3	104  50 227
butter                     	ffff81	255 255 129
butterscotch               	fdb147	253 177  71
butteryellow               	fffd74	255 253 116
cadetblue                  	4e7496	 78 116 150
camel                      	c69f59	198 159  89
camo                       	7f8f4e	127 143  78
camogreen                  	526525	 82 101  37
camouflagegreen            	4b6113	 75  97  19
canary                     	fdff63	253 255  99
canaryyellow               	fffe40	255 254  64
candypink                  	ff63e9	255  99 233
caramel                    	af6f09	175 111   9
carmine                    	9d0216	157   2  22
carnation                  	fd798f	253 121 143
carnationpink              	ff7fa7	255 127 167
carolinablue               	8ab8fe	138 184 254
celadon                    	befdb7	190 253 183
celery                     	c1fd95	193 253 149
cement                     	a5a391	165 163 145
cerise                     	de0c62	222  12  98
cerulean                   	0485d1	  4 133 209
ceruleanblue               	056eee	  5 110 238
charcoal                   	343837	 52  56  55
charcoalgrey               	3c4142	 60  65  66
chartreuse                 	c1f80a	193 248  10
cherry                     	cf0234	207   2  52
cherryred                  	f7022a	247   2  42
chestnut                   	742802	116  40   2
chocolate                  	3d1c02	 61  28   2
chocolatebrown             	411900	 65  25   0
cinnamon                   	ac4f06	172  79   6
claret                     	680018	104   0  24
clay                       	b66a50	182 106  80
claybrown                  	b2713d	178 113  61
clearblue                  	247afd	 36 122 253
cobalt                     	1e488f	 30  72 143
cobaltblue                 	030aa7	  3  10 167
cocoa                      	875f42	135  95  66
coffee                     	a6814c	166 129  76
coolblue                   	4984b8	 73 132 184
coolgreen                  	33b864	 51 184 100
coolgrey                   	95a3a6	149 163 166
copper                     	b66325	182  99  37
coral                      	fc5a50	252  90  80
coralpink                  	ff6163	255  97  99
cornflower                 	6a79f7	106 121 247
cornflowerblue             	5170d7	 81 112 215
cranberry                  	9e003a	158   0  58
cream                      	ffffc2	255 255 194
creme                      	ffffb6	255 255 182
crimson                    	8c000f	140   0  15
custard                    	fffd78	255 253 120
cyan                       	00ffff	  0 255 255
dandelion                  	fedf08	254 223   8
dark                       	1b2431	 27  36  49
darkaqua                   	05696b	  5 105 107
darkaquamarine             	017371	  1 115 113
darkbeige                  	ac9362	172 147  98
darkblue                   	030764	  3   7 100
darkbluegreen              	005249	  0  82  73
darkbluegrey               	1f3b4d	 31  59  77
darkbrown                  	341c02	 52  28   2
darkcoral                  	cf524e	207  82  78
darkcream                  	fff39a	255 243 154
darkcyan                   	0a888a	 10 136 138
darkforestgreen            	002d04	  0  45   4
darkfuchsia                	9d0759	157   7  89
darkgold                   	b59410	181 148  16
darkgrassgreen             	388004	 56 128   4
darkgreen                  	054907	  5  73   7
darkgreenblue              	1f6357	 31  99  87
darkgrey                   	363737	 54  55  55
darkgreyblue               	29465b	 41  70  91
darkhotpink                	d90166	217   1 102
darkindigo                 	1f0954	 31   9  84
darkishblue                	014182	  1  65 130
darkishgreen               	287c37	 40 124  55
darkishpink                	da467d	218  70 125
darkishpurple              	751973	117  25 115
darkishred                 	a90308	169   3   8
darkkhaki                  	9b8f55	155 143  85
darklavender               	856798	133 103 152
darklilac                  	9c6da5	156 109 165
darklime                   	84b701	132 183   1
darklimegreen              	7ebd01	126 189   1
darkmagenta                	960056	150   0  86
darkmaroon                 	3c0008	 60   0   8
darkmauve                  	874c62	135  76  98
darkmint                   	48c072	 72 192 114
darkmintgreen              	20c073	 32 192 115
darkmustard                	a88905	168 137   5
darknavy                   	000435	  0   4  53
darknavyblue               	00022e	  0   2  46
darkolive                  	373e02	 55  62   2
darkolivegreen             	3c4d03	 60  77   3
darkorange                 	c65102	198  81   2
darkpastelgreen            	56ae57	 86 174  87
darkpeach                  	de7e5d	222 126  93
darkperiwinkle             	665fd1	102  95 209
darkpink                   	cb416b	203  65 107
